DATE,CUUR0000SEHA
1997-01-01,164.400
1997-02-01,164.800
1997-03-01,165.100
1997-04-01,165.500
1997-05-01,165.900
1997-06-01,166.400
1997-07-01,166.800
1997-08-01,167.300
1997-09-01,167.800
1997-10-01,168.200
1997-11-01,168.700
1997-12-01,169.100
1998-01-01,169.500
1998-02-01,169.900
1998-03-01,170.300
1998-04-01,170.700
1998-05-01,171.100
1998-06-01,171.700
1998-07-01,172.200
1998-08-01,172.800
1998-09-01,173.400
1998-10-01,173.900
1998-11-01,174.500
1998-12-01,174.900
1999-01-01,175.300
1999-02-01,175.600
1999-03-01,176.000
1999-04-01,176.400
1999-05-01,176.700
1999-06-01,177.100
1999-07-01,177.500
1999-08-01,177.900
1999-09-01,178.400
1999-10-01,178.800
1999-11-01,179.800
1999-12-01,180.300
2000-01-01,181.100
2000-02-01,181.500
2000-03-01,182.000
2000-04-01,182.300
2000-05-01,182.700
2000-06-01,183.200
2000-07-01,183.900
2000-08-01,184.600
2000-09-01,185.300
2000-10-01,186.100
2000-11-01,186.800
2000-12-01,187.600
2001-01-01,188.200
2001-02-01,188.900
2001-03-01,189.600
2001-04-01,190.200
2001-05-01,191.000
2001-06-01,191.600
2001-07-01,192.300
2001-08-01,193.100
2001-09-01,193.900
2001-10-01,194.700
2001-11-01,195.500
2001-12-01,196.400
2002-01-01,197.000
2002-02-01,197.700
2002-03-01,198.200
2002-04-01,198.500
2002-05-01,198.800
2002-06-01,199.300
2002-07-01,199.800
2002-08-01,200.200
2002-09-01,200.700
2002-10-01,201.300
2002-11-01,202.000
2002-12-01,202.500
2003-01-01,203.300
2003-02-01,203.700
2003-03-01,204.100
2003-04-01,204.500
2003-05-01,204.900
2003-06-01,205.100
2003-07-01,205.600
2003-08-01,206.100
2003-09-01,206.600
2003-10-01,206.900
2003-11-01,207.500
2003-12-01,207.900
2004-01-01,208.300
2004-02-01,208.800
2004-03-01,209.200
2004-04-01,209.700
2004-05-01,210.200
2004-06-01,210.700
2004-07-01,211.200
2004-08-01,211.900
2004-09-01,212.400
2004-10-01,212.800
2004-11-01,213.200
2004-12-01,213.900
2005-01-01,214.500
2005-02-01,215.000
2005-03-01,215.500
2005-04-01,216.000
2005-05-01,216.400
2005-06-01,216.800
2005-07-01,217.500
2005-08-01,218.000
2005-09-01,218.600
2005-10-01,219.300
2005-11-01,220.000
2005-12-01,220.500
2006-01-01,220.900
2006-02-01,221.600
2006-03-01,222.300
2006-04-01,222.900
2006-05-01,223.600
2006-06-01,224.400
2006-07-01,225.200
2006-08-01,226.200
2006-09-01,227.100
2006-10-01,228.000
2006-11-01,228.900
2006-12-01,230.000
2007-01-01,230.806
2007-02-01,231.739
2007-03-01,232.495
2007-04-01,232.980
2007-05-01,233.549
2007-06-01,234.071
2007-07-01,234.732
2007-08-01,235.311
2007-09-01,236.058
2007-10-01,237.135
2007-11-01,238.169
2007-12-01,239.102
2008-01-01,239.850
2008-02-01,240.325
2008-03-01,240.874
2008-04-01,241.474
2008-05-01,241.803
2008-06-01,242.640
2008-07-01,243.367
2008-08-01,244.181
2008-09-01,244.926
2008-10-01,245.855
2008-11-01,246.681
2008-12-01,247.278
2009-01-01,247.974
2009-02-01,248.305
2009-03-01,248.639
2009-04-01,248.899
2009-05-01,249.069
2009-06-01,249.092
2009-07-01,248.994
2009-08-01,249.029
2009-09-01,248.965
2009-10-01,248.888
2009-11-01,248.886
2009-12-01,248.999
2010-01-01,249.144
2010-02-01,249.017
2010-03-01,249.089
2010-04-01,249.012
2010-05-01,248.925
2010-06-01,248.999
2010-07-01,249.126
2010-08-01,249.024
2010-09-01,249.368
2010-10-01,249.618
2010-11-01,250.317
2010-12-01,250.986
2011-01-01,251.555
2011-02-01,251.829
2011-03-01,252.145
2011-04-01,252.221
2011-05-01,252.393
2011-06-01,252.592
2011-07-01,253.085
2011-08-01,254.003
2011-09-01,254.628
2011-10-01,255.651
2011-11-01,256.367
2011-12-01,257.189
2012-01-01,257.714
2012-02-01,258.184
2012-03-01,258.569
2012-04-01,258.922
2012-05-01,259.231
2012-06-01,259.407
2012-07-01,260.107
2012-08-01,260.677
2012-09-01,261.421
2012-10-01,262.707
2012-11-01,263.365
2012-12-01,264.098
2013-01-01,264.700
2013-02-01,265.256
2013-03-01,265.821
2013-04-01,265.984
2013-05-01,266.559
2013-06-01,266.905
2013-07-01,267.482
2013-08-01,268.505
2013-09-01,269.137
2013-10-01,269.960
2013-11-01,270.698
2013-12-01,271.688
2014-01-01,272.317
2014-02-01,272.733
2014-03-01,273.486
2014-04-01,274.100
2014-05-01,274.710
2014-06-01,275.321
2014-07-01,276.248
2014-08-01,277.048
2014-09-01,277.998
2014-10-01,278.985
2014-11-01,280.123
2014-12-01,280.874
2015-01-01,281.572
