DATE,MEFAINUSA646N
1953-01-01,4242
1954-01-01,4167
1955-01-01,4418
1956-01-01,4780
1957-01-01,4966
1958-01-01,5087
1959-01-01,5417
1960-01-01,5620
1961-01-01,5735
1962-01-01,5956
1963-01-01,6249
1964-01-01,6569
1965-01-01,6957
1966-01-01,7532
1967-01-01,7933
1968-01-01,8632
1969-01-01,9433
1970-01-01,9867
1971-01-01,10285
1972-01-01,11116
1973-01-01,12051
1974-01-01,12902
1975-01-01,13719
1976-01-01,14958
1977-01-01,16009
1978-01-01,17640
1979-01-01,19587
1980-01-01,21023
1981-01-01,22388
1982-01-01,23433
1983-01-01,24580
1984-01-01,26433
1985-01-01,27735
1986-01-01,29458
1987-01-01,30970
1988-01-01,32191
1989-01-01,34213
1990-01-01,35353
1991-01-01,35939
1992-01-01,36573
1993-01-01,36959
1994-01-01,38782
1995-01-01,40611
1996-01-01,42300
1997-01-01,44568
1998-01-01,46737
1999-01-01,48831
2000-01-01,50732
2001-01-01,51407
2002-01-01,51680
2003-01-01,52680
2004-01-01,54061
2005-01-01,56194
2006-01-01,58407
2007-01-01,61355
2008-01-01,61521
2009-01-01,60088
2010-01-01,60236
2011-01-01,60974
2012-01-01,62241
2013-01-01,65471
2014-01-01,66632
2015-01-01,70697
2016-01-01,72707
2017-01-01,75938
