DATE,MORTGAGE15US
1997-01-01,7.328
1997-02-01,7.15
1997-03-01,7.405
1997-04-01,7.675
1997-05-01,7.472
1997-06-01,7.235
1997-07-01,7.0375
1997-08-01,7.016
1997-09-01,6.9875
1997-10-01,6.848
1997-11-01,6.76
1997-12-01,6.6625
1998-01-01,6.576
1998-02-01,6.6375
1998-03-01,6.7425
1998-04-01,6.78
1998-05-01,6.784
1998-06-01,6.6675
1998-07-01,6.624
1998-08-01,6.6125
1998-09-01,6.4025
1998-10-01,6.364
1998-11-01,6.505
1998-12-01,6.39
1999-01-01,6.425
1999-02-01,6.4375
1999-03-01,6.675
1999-04-01,6.528
1999-05-01,6.7475
1999-06-01,7.1775
1999-07-01,7.256
1999-08-01,7.5275
1999-09-01,7.4425
1999-10-01,7.466
1999-11-01,7.355
1999-12-01,7.522
2000-01-01,7.8025
2000-02-01,7.9325
2000-03-01,7.832
2000-04-01,7.8
2000-05-01,8.1825
2000-06-01,7.992
2000-07-01,7.865
2000-08-01,7.7625
2000-09-01,7.604
2000-10-01,7.47
2000-11-01,7.4175
2000-12-01,7.056
2001-01-01,6.64
2001-02-01,6.64
2001-03-01,6.508
2001-04-01,6.595
2001-05-01,6.675
2001-06-01,6.7
2001-07-01,6.6825
2001-08-01,6.5
2001-09-01,6.34
2001-10-01,6.0975
2001-11-01,6.146
2001-12-01,6.5425
2002-01-01,6.48
2002-02-01,6.375
2002-03-01,6.516
2002-04-01,6.475
2002-05-01,6.28
2002-06-01,6.105
2002-07-01,5.93
2002-08-01,5.702
2002-09-01,5.5075
2002-10-01,5.5
2002-11-01,5.464
2002-12-01,5.45
2003-01-01,5.304
2003-02-01,5.22
2003-03-01,5.065
2003-04-01,5.1175
2003-05-01,4.86
2003-06-01,4.6275
2003-07-01,4.9675
2003-08-01,5.588
2003-09-01,5.4575
2003-10-01,5.274
2003-11-01,5.2725
2003-12-01,5.204
2004-01-01,5.015
2004-02-01,4.9375
2004-03-01,4.74
2004-04-01,5.158
2004-05-01,5.6375
2004-06-01,5.66
2004-07-01,5.464
2004-08-01,5.26
2004-09-01,5.144
2004-10-01,5.115
2004-11-01,5.135
2004-12-01,5.178
2005-01-01,5.1725
2005-02-01,5.15
2005-03-01,5.464
2005-04-01,5.4075
2005-05-01,5.28
2005-06-01,5.168
2005-07-01,5.2775
2005-08-01,5.4
2005-09-01,5.358
2005-10-01,5.625
2005-11-01,5.8625
2005-12-01,5.816
2006-01-01,5.71
2006-02-01,5.86
2006-03-01,5.968
2006-04-01,6.155
2006-05-01,6.205
2006-06-01,6.306
2006-07-01,6.39
2006-08-01,6.198
2006-09-01,6.0775
2006-10-01,6.05
2006-11-01,5.956
2006-12-01,5.88
2007-01-01,5.965
2007-02-01,6.02
2007-03-01,5.884
2007-04-01,5.8825
2007-05-01,5.968
2007-06-01,6.34
2007-07-01,6.36
2007-08-01,6.234
2007-09-01,6.0475
2007-10-01,6.04
2007-11-01,5.85
2007-12-01,5.7525
2008-01-01,5.288
2008-02-01,5.44
2008-03-01,5.42
2008-04-01,5.465
2008-05-01,5.6
2008-06-01,5.91
2008-07-01,5.972
2008-08-01,6.025
2008-09-01,5.64
2008-10-01,5.892
2008-11-01,5.79
2008-12-01,5.038
2009-01-01,4.7175
2009-02-01,4.7725
2009-03-01,4.6375
2009-04-01,4.5
2009-05-01,4.515
2009-06-01,4.9025
2009-07-01,4.692
2009-08-01,4.6125
2009-09-01,4.4925
2009-10-01,4.39
2009-11-01,4.3425
2009-12-01,4.392
2010-01-01,4.435
2010-02-01,4.3675
2010-03-01,4.33
2010-04-01,4.418
2010-05-01,4.2775
2010-06-01,4.175
2010-07-01,4.04
2010-08-01,3.9075
2010-09-01,3.81
2010-10-01,3.66
2010-11-01,3.6825
2010-12-01,4.058
2011-01-01,4.0875
2011-02-01,4.215
2011-03-01,4.08
2011-04-01,4.055
2011-05-01,3.8225
2011-06-01,3.694
2011-07-01,3.68
2011-08-01,3.46
2011-09-01,3.318
2011-10-01,3.3475
2011-11-01,3.305
2011-12-01,3.246
2012-01-01,3.2
2012-02-01,3.1625
2012-03-01,3.198
2012-04-01,3.1425
2012-05-01,3.034
2012-06-01,2.9525
2012-07-01,2.845
2012-08-01,2.86
2012-09-01,2.8025
2012-10-01,2.6925
2012-11-01,2.662
2012-12-01,2.6575
2013-01-01,2.696
2013-02-01,2.7675
2013-03-01,2.7575
2013-04-01,2.66
2013-05-01,2.722
2013-06-01,3.1675
2013-07-01,3.43
2013-08-01,3.488
2013-09-01,3.5225
2013-10-01,3.274
2013-11-01,3.2975
2013-12-01,3.4825
2014-01-01,3.48
2014-02-01,3.35
2014-03-01,3.36
2014-04-01,3.3925
2014-05-01,3.29
2014-06-01,3.265
2014-07-01,3.236
2014-08-01,3.2475
2014-09-01,3.3075
2014-10-01,3.21
2014-11-01,3.1875
2014-12-01,3.128
2015-01-01,2.985
2015-02-01,3.0075
2015-03-01,3.04
2015-04-01,2.942
2015-05-01,3.0625
2015-06-01,3.1925
2015-07-01,3.214
2015-08-01,3.1275
2015-09-01,3.095
