DATE,MORTGAGE30US
1997-01-01,7.824
1997-02-01,7.65
1997-03-01,7.8975
1997-04-01,8.1425
1997-05-01,7.944
1997-06-01,7.69
1997-07-01,7.4975
1997-08-01,7.48
1997-09-01,7.43
1997-10-01,7.294
1997-11-01,7.205
1997-12-01,7.095
1998-01-01,6.994
1998-02-01,7.0425
1998-03-01,7.1275
1998-04-01,7.14
1998-05-01,7.144
1998-06-01,6.9975
1998-07-01,6.952
1998-08-01,6.9225
1998-09-01,6.7225
1998-10-01,6.71
1998-11-01,6.865
1998-12-01,6.738
1999-01-01,6.785
1999-02-01,6.8075
1999-03-01,7.04
1999-04-01,6.916
1999-05-01,7.145
1999-06-01,7.55
1999-07-01,7.632
1999-08-01,7.9425
1999-09-01,7.8225
1999-10-01,7.852
1999-11-01,7.7375
1999-12-01,7.912
2000-01-01,8.21
2000-02-01,8.325
2000-03-01,8.24
2000-04-01,8.1525
2000-05-01,8.515
2000-06-01,8.288
2000-07-01,8.1475
2000-08-01,8.0275
2000-09-01,7.912
2000-10-01,7.795
2000-11-01,7.745
2000-12-01,7.382
2001-01-01,7.0325
2001-02-01,7.05
2001-03-01,6.952
2001-04-01,7.0775
2001-05-01,7.145
2001-06-01,7.16
2001-07-01,7.1275
2001-08-01,6.95
2001-09-01,6.8175
2001-10-01,6.6175
2001-11-01,6.658
2001-12-01,7.065
2002-01-01,6.9975
2002-02-01,6.8925
2002-03-01,7.014
2002-04-01,6.985
2002-05-01,6.806
2002-06-01,6.65
2002-07-01,6.485
2002-08-01,6.29
2002-09-01,6.0925
2002-10-01,6.1125
2002-11-01,6.068
2002-12-01,6.0475
2003-01-01,5.916
2003-02-01,5.8425
2003-03-01,5.745
2003-04-01,5.8125
2003-05-01,5.484
2003-06-01,5.23
2003-07-01,5.6325
2003-08-01,6.264
2003-09-01,6.1475
2003-10-01,5.952
2003-11-01,5.9325
2003-12-01,5.876
2004-01-01,5.7125
2004-02-01,5.635
2004-03-01,5.445
2004-04-01,5.83
2004-05-01,6.27
2004-06-01,6.2875
2004-07-01,6.056
2004-08-01,5.8675
2004-09-01,5.754
2004-10-01,5.7225
2004-11-01,5.73
2004-12-01,5.752
2005-01-01,5.71
2005-02-01,5.6275
2005-03-01,5.928
2005-04-01,5.855
2005-05-01,5.72
2005-06-01,5.582
2005-07-01,5.695
2005-08-01,5.82
2005-09-01,5.774
