roundNo,itemPrice,card1Predict,card1ForecastNext,card1ForecastNextNxt,card2Predict,card2ForecastNext,card2ForecastNextNxt,card3Predict,card3ForecastNext,card3ForecastNextNxt,card4Predict,card4ForecastNext,card4ForecastNextNxt,State,Type,itemDesc,itemIconURL,card1PredictF,card1ForecastNextF,card1ForecastNextNxtF,card2PredictF,card2ForecastNextF,card2ForecastNextNxtF,card3PredictF,card3ForecastNextF,card3ForecastNextNxtF,card4PredictF,card4ForecastNextF,card4ForecastNextNxtF,,
0," 135,931 "," 108,745 "," 142,728 "," 169,914 "," 115,542 "," 138,650 "," 166,380 "," 149,524 "," 171,953 "," 204,624 "," 127,096 "," 146,160 "," 173,931 ",CO,1B,Warm one- bedroom in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/1-1.png,"$ 135,931","$ 108,745","$ 142,728","$ 169,914","$ 115,542","$ 138,650","$ 166,380","$ 149,524","$ 171,953","$ 204,624","$ 127,096","$ 146,160","$ 173,931",
0," 139,056 "," 111,245 "," 146,008 "," 173,820 "," 118,197 "," 141,837 "," 170,204 "," 152,961 "," 175,905 "," 209,328 "," 130,017 "," 149,520 "," 177,928 ",CO,1B,Warm one- bedroom in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/1-2.png,"$ 139,056","$ 111,245","$ 146,008","$ 173,820","$ 118,197","$ 141,837","$ 170,204","$ 152,961","$ 175,905","$ 209,328","$ 130,017","$ 149,520","$ 177,928",
0," 146,855 "," 117,484 "," 154,198 "," 183,569 "," 124,827 "," 149,793 "," 179,751 "," 161,541 "," 185,772 "," 221,069 "," 137,310 "," 157,906 "," 187,909 ",CO,1B,Brilliant one- bedroom in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/1-3.png,"$ 146,855","$ 117,484","$ 154,198","$ 183,569","$ 124,827","$ 149,793","$ 179,751","$ 161,541","$ 185,772","$ 221,069","$ 137,310","$ 157,906","$ 187,909",
0," 139,905 "," 111,924 "," 146,901 "," 174,882 "," 118,919 "," 142,703 "," 171,244 "," 153,896 "," 176,980 "," 210,606 "," 130,811 "," 150,433 "," 179,015 ",CO,1B,Effervescent one- bedroom in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/1-4.png,"$ 139,905","$ 111,924","$ 146,901","$ 174,882","$ 118,919","$ 142,703","$ 171,244","$ 153,896","$ 176,980","$ 210,606","$ 130,811","$ 150,433","$ 179,015",
0," 143,978 "," 115,182 "," 151,177 "," 179,972 "," 122,381 "," 146,857 "," 176,229 "," 158,376 "," 182,132 "," 216,737 "," 134,619 "," 154,812 "," 184,226 ",CO,1B,Divine one- bedroom in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/1-5.png,"$ 143,978","$ 115,182","$ 151,177","$ 179,972","$ 122,381","$ 146,857","$ 176,229","$ 158,376","$ 182,132","$ 216,737","$ 134,619","$ 154,812","$ 184,226",
0," 163,118 "," 130,494 "," 171,273 "," 203,897 "," 138,650 "," 166,380 "," 199,656 "," 179,429 "," 206,344 "," 245,549 "," 152,515 "," 175,392 "," 208,717 ",CO,2B,Unparalleled two-bedroom in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/2-1.png,"$ 163,118","$ 130,494","$ 171,273","$ 203,897","$ 138,650","$ 166,380","$ 199,656","$ 179,429","$ 206,344","$ 245,549","$ 152,515","$ 175,392","$ 208,717",
0," 166,867 "," 133,493 "," 175,210 "," 208,584 "," 141,837 "," 170,204 "," 204,245 "," 183,554 "," 211,087 "," 251,193 "," 156,021 "," 179,424 "," 213,514 ",CO,2B,Brilliant two-bedroom in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/2-2.png,"$ 166,867","$ 133,493","$ 175,210","$ 208,584","$ 141,837","$ 170,204","$ 204,245","$ 183,554","$ 211,087","$ 251,193","$ 156,021","$ 179,424","$ 213,514",
0," 176,227 "," 140,981 "," 185,038 "," 220,283 "," 149,793 "," 179,751 "," 215,701 "," 193,849 "," 222,927 "," 265,283 "," 164,772 "," 189,488 "," 225,490 ",CO,2B,Magnificent two-bedroom in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/2-3.png,"$ 176,227","$ 140,981","$ 185,038","$ 220,283","$ 149,793","$ 179,751","$ 215,701","$ 193,849","$ 222,927","$ 265,283","$ 164,772","$ 189,488","$ 225,490",
0," 167,886 "," 134,309 "," 176,281 "," 209,858 "," 142,703 "," 171,244 "," 205,493 "," 184,675 "," 212,376 "," 252,728 "," 156,974 "," 180,520 "," 214,818 ",CO,2B,Exquisite two-bedroom in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/2-4.png,"$ 167,886","$ 134,309","$ 176,281","$ 209,858","$ 142,703","$ 171,244","$ 205,493","$ 184,675","$ 212,376","$ 252,728","$ 156,974","$ 180,520","$ 214,818",
0," 172,773 "," 138,219 "," 181,412 "," 215,967 "," 146,857 "," 176,229 "," 211,475 "," 190,051 "," 218,558 "," 260,084 "," 161,543 "," 185,775 "," 221,072 ",CO,2B,Welcoming two-bedroom in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/2-5.png,"$ 172,773","$ 138,219","$ 181,412","$ 215,967","$ 146,857","$ 176,229","$ 211,475","$ 190,051","$ 218,558","$ 260,084","$ 161,543","$ 185,775","$ 221,072",
