RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01
12447,Los Angeles,California,1,511300,485100,462400,454400,435100,420100,403600,395200,382300,369900,361900,351500,344700,327500,322600,326200,330700,336200,338e3,343400,343800,349800,364600,370600,367200,352200,351600,350400,351700,347400,351e3,35e4,355e3,359500,364600,364400,352700,347200,346e3,347200,343600,339700,337700,332200,329100,328800,337800,339100,338600,336900,338500,345200,351300,360100,372200,375100,381900,395400,412300,422800,420300,429100,442500,458300,465100,467e3,469600,472e3,470700,463100,460200,459100,463e3,461800,465700,463500,463700,463200,464100,469e3,467e3,472700,489500,5e5,503800,493600,491400,494e3,495400,503300,507500,506500,506900,514700,534800,539300,534500,526900,530400,534300,531900,532800,535800,535600,539300,538900,564100,564700,569900,553700,559e3,564600,572500,572700,575200,581800,598500,610300,626600,637600,642200,638700,637500,648400,641700,651100,,,,,
17426,Chicago,Illinois,2,330900,324500,297100,281300,276e3,272500,273300,270500,263200,256800,246800,248400,251900,252100,241400,228300,227e3,229600,231100,229700,235300,233500,236500,228400,227e3,225400,227600,229200,220800,211800,199500,200500,205200,205700,202700,200600,196700,189800,181600,189e3,198700,204800,202700,197600,188100,186100,179800,181e3,178500,184400,186500,193800,199200,206200,212400,206200,205700,195300,200500,198e3,203300,204800,215900,228200,241e3,245700,248300,251200,249900,245500,242e3,255400,259400,261100,253900,256600,255700,257500,260800,263600,264400,259300,261800,264300,269700,271600,267400,262600,255e3,245e3,238700,230300,221600,216500,215600,219700,218600,220900,221700,223800,227700,232600,233600,233600,238600,247500,257300,256400,254100,243600,235900,227300,223100,225500,225900,229700,232700,238800,246500,257e3,277700,279100,275400,260600,264900,266e3,267500,263e3,267300,248300,
6915,San Antonio,Texas,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164e3,163600,165600,165600,166900,166700,169400,171400,173700,172800,172500,172400,173500,174800,174500,178200,176800,178300,175200,175800,178500,179700,180800,177800,178500,178900,18e4,180100,180800,180900,179700,180500,180500,180400,18e4,181200,182e3,182500,182300,185500,186800,189e3,187700,188200,189700,191800,193e3,192100,191800,192e3,193900,199200,201500,201100,
13271,Philadelphia,Pennsylvania,4,109300,109700,111300,109900,108100,110900,114200,117100,115100,111500,107400,101700,101300,108500,111800,113600,108900,115600,121800,125900,130600,128e3,124500,114500,115100,117500,120800,119600,115100,106300,105e3,101800,111800,106300,108900,104500,107100,110200,110400,111600,105300,106200,105800,108e3,104400,105e3,104200,101400,98800,102e3,108600,108e3,107200,109e3,109900,107700,107500,111800,114700,111900,106800,106800,108600,112800,115e3,115400,115900,116800,117500,119100,119300,120800,125e3,123600,122500,118400,117600,119500,118800,121700,119300,119600,118200,112700,113900,114100,118600,119900,120200,120800,123e3,127500,128e3,123500,127600,128400,128300,120200,121500,122500,125100,125400,130100,128700,131300,130800,133400,134700,136100,139400,141500,144200,144100,145900,145900,146400,148700,149500,153100,146900,144100,139300,144e3,143400,143e3,140700,143800,147700,153100,156700,
40326,Phoenix,Arizona,5,223e3,213100,203800,196100,186400,176700,167700,154300,139600,122200,108300,93700,82100,74500,73100,81300,88100,95300,95900,97400,104e3,104900,106100,103700,103200,103600,102200,104100,101400,97700,95300,94100,90400,84700,84300,83700,83300,80100,79200,81400,83400,86900,90100,91800,96300,97900,93700,86800,82200,85400,92700,97100,101600,104800,106600,111400,115100,120100,124100,123500,124100,124100,128700,133800,137400,137800,138200,138e3,136200,136400,137e3,139500,138900,139800,138200,139200,139500,141300,143400,143200,143e3,144600,145300,149200,151300,155400,158600,161500,162500,162400,162700,165100,167600,170100,171700,172600,174200,175900,177600,178e3,177800,179800,182500,185100,187900,187600,190800,191500,194100,193200,193300,194700,197100,2e5,201400,204400,207600,210900,215400,218700,217600,217800,215e3,216900,218400,22e4,220900,219600,221100,217900,214500
18959,Las Vegas,Nevada,6,245300,239300,235800,229700,219900,208600,194400,184400,173900,165600,158200,149500,142400,131e3,124100,120300,119900,118100,116100,117100,118600,121e3,122900,123300,123300,124100,126100,128200,125200,124300,120300,118900,116500,115e3,115e3,113700,111e3,108800,108100,108700,107400,104600,102800,102900,104e3,105500,106500,106400,107900,109700,113100,116900,119400,122100,123600,126300,130100,132900,137e3,139200,143e3,145200,148800,155100,159100,162600,161100,162800,163100,165900,166800,168700,170500,172200,172400,163600,162900,167100,177500,179800,178500,178500,179300,182500,183600,185800,186e3,186200,189e3,188400,190100,188400,191200,192300,197700,200300,200600,198200,196900,199300,199100,199500,198e3,200900,204900,206400,209500,208600,214600,214900,218900,224400,227500,228800,229e3,231800,234800,237500,242900,246900,253700,257100,266200,272500,275100,273900,274200,277e3,279500,278400,282e3
54296,San Diego,California,7,422800,410600,398300,379800,370800,355900,347700,332700,319700,307800,294900,301600,295300,294400,290700,308400,324100,331800,339100,345400,344900,349e3,341400,348e3,347300,352700,348700,344800,348800,349e3,352800,352600,358300,357700,346300,341100,337800,345300,343800,337600,333500,329300,327800,325800,324800,328700,327900,331200,335800,344300,351600,355500,365700,367800,370400,370800,380200,389800,396700,403200,408600,417200,426300,431100,433300,429700,434800,432100,433700,432800,437200,440100,441700,442800,445e3,445600,449400,454100,458900,463600,462200,461500,462100,475200,484200,484900,477e3,475700,479400,480500,472400,466800,47e4,486400,499700,504200,494500,497900,496800,502500,499600,502800,505500,513400,516900,518900,524900,539500,545600,539100,530900,537600,543100,547100,547e3,550300,561100,568600,573800,576200,578900,584900,588600,594200,594300,596700,599300,593e3,583500,577800,
33839,San Jose,California,8,617600,583300,566500,545700,533e3,520800,498600,475400,444600,427900,423100,417e3,396900,370500,359700,368e3,393700,402400,415900,419200,436700,45e4,460200,465900,467300,454e3,455200,449100,457600,454700,457300,455500,452500,450900,450200,439100,43e4,417700,415300,423700,425e3,431100,429300,424900,425100,421800,433600,431700,433500,437300,441e3,451900,466200,493700,508100,514600,518900,525100,542800,548500,557600,563900,580200,593200,598300,599700,601700,606600,610700,616700,622400,626e3,625400,630200,635200,642100,636300,645300,649100,659500,664100,669600,677600,666300,676800,680900,700700,704600,712500,719800,726200,730300,731600,738900,738300,745400,750700,759600,764500,761400,764900,762300,760800,766800,775900,784100,793100,801300,810700,809800,809200,813700,825300,835700,850600,874600,907400,954600,975700,1015500,1036e3,1060900,1058100,1042600,1019100,1004e3,997e3,1011300,993700,99e4,965700
10221,Austin,Texas,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267300,266600,267200,273600,277200,279300,284200,285100,282200,279400,28e4,291500,295900,297900,293700,288600,289700,288600,292900,296200,300400,302300,304500,303800,303900,304e3,311800,315100,314500,314e3,317100,317700,315200,316700,317300,325800,330100,333700,328700,325300,328900,342800,342600,345900,335200,334400,334e3,335e3,339200,341700,348900,355900,359700,357600,363200,
25290,Jacksonville,Florida,10,181400,174500,152600,145e3,141300,140400,134700,128600,126800,124700,126400,134200,136500,131200,114200,108500,108200,110700,109e3,104800,106700,107100,108900,113800,116e3,114500,103e3,98200,97200,92800,85700,80400,86500,91100,93500,95200,94600,93100,84100,83600,83e3,85900,82e3,81800,81400,86600,83300,86100,82600,84800,78800,76500,75e3,75500,77100,74700,76300,78100,85400,87100,86300,82500,80200,76300,74300,78300,81800,85600,84100,84500,83700,83300,82800,81900,76800,75100,77900,79200,80600,81800,83800,84600,79200,79200,77400,80200,84200,9e4,95e3,94900,98100,96900,92800,90300,91900,107900,108800,114100,109100,114e3,112300,110600,108500,110600,111400,112300,116400,137500,146800,147100,130300,124800,121600,123e3,119700,118600,118500,123200,131900,144500,155800,155500,145600,140200,141500,142500,143800,139300,138100,132800,
