SizeRank,RegionID,RegionName,RegionType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12
0,102001,United States,Country,0.92,0.9191551960837001,0.926923076923077,0.932233775546791,0.9371964112234985,0.9380863039399625,0.9340252038547072,0.9329268292682927,0.9257714762301918,0.9217354793561932,0.917923875432526,0.9140625,0.9109792284866469,0.909697138093915,0.9130273801560758,0.918854415274463,0.9254627313656828,0.9307692307692308,0.9313556398758193,0.9289940828402367,0.9250052031546291,0.9229190992493744,0.9220500056567486,0.92090112640801,0.9194476409666283,0.9212283044058746,0.9291666666666667,0.9377344336084021,0.9463321689425215,0.9505320216026394,0.9518658734451054,0.9502375593898474,0.9485302231237323,0.9478672985781991,0.9471709909346671,0.9459041731066461,0.9447194283371707,0.9467667023937121,0.9527777777777777,0.9584,0.9631578947368421,0.966183574879227,0.9662921348314607,0.9641873278236914,0.9607686148919136,0.9568450676409599,0.9527700157939497,0.9493670886075949,0.9461538461538461,0.948220064724919,0.953757225433526,0.9586406428398386,0.9634498698262579,0.9664429530201343,0.9647058823529412,0.9615384615384616,0.9574468085106383,0.9536601746138348,0.9513590844062947,0.9486679662118258,0.9471766848816029,0.9503167722574192,0.9585121602288984,0.9644670050761421,0.9694811800610377,0.9713701431492843,0.9698929076581128,0.9668721109399075,0.9636363636363636,0.960040757654385,0.9578947368421052,0.9565217391304348,0.9545804464973057,0.9565217391304348,0.9642857142857143,0.9699849924962481,0.9743059148128987,0.9761904761904762,0.9754877438719359,0.972972972972973,0.9696785930867192,0.9673115410273516,0.9651917316805987,0.9625668449197861,0.9606283755747687,0.9629355077835434,0.9696969696969697,0.9750146705788211,0.9788359788359788,0.9809807817526264,0.9798994974874372,0.9764705882352941,0.9737470167064439,0.9708658733849747,0.96875,0.9666666666666667,0.9649122807017544,0.9688581314878892,0.9752380952380952,0.9798994974874372,0.9828009828009828,0.9839080459770115,0.9815950920245399,0.9770114942528736,0.9728997289972899,0.9688581314878892,0.9652736904061212,0.9615384615384616
1,394913,"New York, NY",Msa,0.899856938483548,0.8983286908077994,0.898325847284606,0.9090909090909091,0.9118541033434651,0.9220231822971549,0.9232189567625788,0.92,0.9127281820455114,0.9101451187335092,0.9110117597959708,0.9052631578947369,0.9,0.9001384828435144,0.8978850336402626,0.9038392012903944,0.9063291139240506,0.9132936690341098,0.9212077798037683,0.92,0.9092562284051646,0.9022556390977443,0.8950821595724425,0.8906098741529526,0.8836401530014177,0.889795918367347,0.891809593281856,0.9001800360072014,0.9090909090909091,0.9180327868852459,0.9280439284935688,0.9262589928057554,0.9222225639921462,0.919732441471572,0.9174311926605505,0.9188376753507014,0.9148634384483441,0.9197994987468672,0.9149130832570905,0.9258208865057489,0.9384184443007972,0.9461991683055291,0.9500008636371488,0.9540229885057471,0.9508702519052512,0.9457943925233645,0.9415457041977247,0.9389671361502347,0.9377148934034926,0.9356306892067621,0.9367816091954023,0.9360730593607306,0.9500004750004749,0.9565965419188461,0.9581939799331104,0.9564449676280165,0.94972067039106145,0.9435739635029026,0.9395788774983406,0.9388888888888889,0.9369024856596558,0.9371563218874539,0.9365513339590131,0.9454545454545454,0.9497988723930146,0.955,0.9610027855153204,0.9594882729211087,0.9546666666666667,0.9495412844036697,0.9444444444444444,0.9433962264150944,0.9411764705882353,0.9408602150537635,0.9447619047619048,0.9468869710398885,0.9556617401933548,0.9602194787379973,0.964696223316913,0.9633074532117614,0.9595475756599716,0.9571843251088534,0.9533938703130098,0.9516866741533162,0.9501900380076015,0.9507783161720169,0.9522388059701492,0.958904109589041,0.9651600753295668,0.9686520376175548,0.9717062017719348,0.9714285714285714,0.9673851909815621,0.9652173913043478,0.9623430962343096,0.9619084263178146,0.9584295612009238,0.95578231292517,0.9599332220367279,0.963027525135947,0.9696431177198057,0.972972972972973,0.9749338527376938,0.9714304217722319,0.9670833984476741,0.9639284631706577,0.9598853868194842,0.9565217391304348
2,753899,"Los Angeles-Long Beach-Anaheim, CA",Msa,0.962278675904542,0.955054406966453,0.9660107334525939,0.9699624530663329,0.9692307692307692,0.9685231482818017,0.96875,0.9646302250803859,0.9586767474953645,0.9553862203630049,0.9509627761252097,0.9456565217391304,0.9464400946440095,0.9402350587646912,0.9455969063924621,0.950077948693268,0.9513888888888888,0.9513590844062947,0.9509656715539068,0.9488413789587281,0.9423076923076923,0.9450980392156862,0.944,0.9456922373798651,0.9443777511004402,0.9482571132876363,0.9511979498886539,0.9592574387694813,0.9656652360515021,0.9742268041237113,0.9762532981530343,0.9784283513097073,0.979498861047836,0.9824561403508771,0.9836612204068023,0.9856835783880447,0.9907876899435227,0.9983925701018039,1,1,1.0001176609012825,1.0002244992864129,1,1,0.9978494623655914,0.9876543209876543,0.9816632709761067,0.9797979797979798,0.9762532981530343,0.9795371561997276,0.9834972495415902,0.9854497354497355,0.9858870967741935,0.9843791125636077,0.9836612204068023,0.9791863579080025,0.9756499803724641,0.9734513274336283,0.9717424735316733,0.9705882352941176,0.9696969696969697,0.9762532981530343,0.9814751264648314,0.9867452135493373,0.9894736842105263,0.9897610921501706,0.9887558503527186,0.9874009706916539,0.9852385704842499,0.9809027777777778,0.9782608695652174,0.9796610169491525,0.9780850125018385,0.9818428470766107,0.988133380047735,0.9902565757828916,0.9932432432432432,0.9925599467179733,0.992901878914405,0.9892888784075771,0.9863851069741595,0.984,0.9828571428571429,0.9802538787023978,0.98,0.9837019790454016,0.9910554561717353,1,1,1,1,0.994578350531413,0.9908883826879271,0.9904534606205251,0.9895238095238095,0.9878048780487805,0.9881266490765171,0.9934207678656451,1,1,1,1,0.9939759036144579,0.9907940161104718,0.9836065573770492,0.9803133878502583,0.9747444781772634,0.9711286884761694
3,394463,"Chicago, IL",Msa,0.8803521408563425,0.8754377188594297,0.8799837793998377,0.8870967741935484,0.8946330834479002,0.9079066666666666,0.9045840449189714,0.9022118742724098,0.9,0.8924050632911392,0.8833646555305749,0.8791018998272885,0.8714285714285714,0.8809463412314009,0.8788507698612493,0.8800440044004401,0.8929424849098809,0.8994571715384064,0.8943089430894309,0.8991723100075244,0.8862206975414523,0.8860216843148675,0.8755662675845555,0.8823529411764706,0.8791636790300501,0.8786610878661087,0.8770491803278688,0.8934169278996865,0.9076937041441602,0.9186519190773303,0.9214417865332499,0.921146953405018,0.922040368254285,0.9175658711986684,0.9170778984834485,0.9201840368073615,0.9133082052768918,0.9170487703209671,0.9230769230769231,0.9318816845159854,0.9435897435897436,0.951389246031209,0.9545454545454546,0.9523809523809523,0.9521997797747372,0.9496155871511321,0.9417304296645085,0.9387503847337643,0.9373516483516483,0.9395424836601307,0.9375,0.948238364506307,0.9554140127388535,0.9587328053355565,0.9566486035848271,0.9549795361527967,0.9483870967741935,0.9411764705882353,0.9364548494983278,0.9312320916905444,0.9257799867236303,0.9281553398058252,0.9320300068197318,0.9466666666666667,0.9559270516717325,0.9595238095238096,0.9563636363636364,0.9531772575250836,0.9482955974842767,0.9438202247191011,0.9398663697104677,0.9349593495934959,0.9290322580645162,0.9312614375762505,0.9437132255689089,0.9554140127388535,0.9612875163114397,0.963658892023853,0.962638736632413,0.9603841536614646,0.9555555555555556,0.9515054957434139,0.9485714285714286,0.9441913439635535,0.9404545532954565,0.944233206590621,0.9532735664747569,0.9626825310978907,0.96875,0.97,0.9686640024886932,0.9640788775788273,0.9603416235624873,0.9562911767598017,0.9517084377280848,0.94994994994995,0.943884892086331,0.9444290037675251,0.9574468085106383,0.968421052631579,0.9711595055915244,0.9718174120748133,0.9693558474046279,0.9649448781364145,0.9599783666846944,0.9555555555555556,0.95,0.9421052631578948
4,394514,"Dallas-Fort Worth, TX",Msa,0.9745144927536232,0.9748155953635406,0.9872855510750238,0.9865771812080537,0.9904989517819707,0.9840955555555555,0.9738933333333334,0.9662623655913979,0.9778552254129299,0.9602029769959405,0.9579444938557092,0.942150080548549,0.944688102605498,0.948020008336807,0.9554524359248542,0.9610191082802548,0.9640152472527472,0.9641367806505421,0.9580555327204521,0.9606186469164868,0.9573333333333334,0.9546396511926135,0.9515237688989999,0.957911475409836,0.9676440218333231,0.975609756097561,0.970285009591669,0.979241264990945,0.9803921568627451,0.9821428571428571,0.9814136986301369,0.9821655413853463,0.9811797666955325,0.9718303968871596,0.9730603015075376,0.9816586206896551,0.977896606984969,0.9814616248306558,0.9847784615384615,0.9900110443493624,0.9891377983063895,0.9863574351978172,0.9847651515151515,0.9837998244073749,0.981745810209673,0.9772084130019121,0.9743321525317774,0.9732299465240641,0.9678629530312123,0.9700586666666666,0.9731934731934732,0.9821848904652197,0.9852262254901961,0.9827418282999436,0.9839946631087392,0.9777264562483962,0.9783396430502974,0.9661128307697192,0.9675529411764706,0.9756597516874447,0.9733333333333334,0.9755102040816327,0.986046511627907,0.9851441730982504,0.991386789969871,1.0000809909480706,0.9889932164994648,0.9886363636363636,0.9849089407471956,0.9762053757673281,0.9778412346319183,0.9729609520047402,0.9743500835733845,0.9783387978142076,0.9881175734834271,0.9898789053925514,0.9951506853722891,0.9926612591734261,0.9912508515254679,0.9903794871794872,0.9838709677419355,0.9823308588069486,0.9716699055663519,0.9720971296385015,0.9793540791081701,0.9788359788359788,0.9836052458963934,0.9899895370140963,0.9882779808452684,0.9914831992798293,0.9892577711439667,0.9809694287478476,0.9796199956353704,0.9741034851164161,0.9736842105263158,0.9718248816523444,0.9724681578129853,0.9766727634760031,0.981062476406191,0.989417693169093,0.990496514711253,0.9863013698630136,0.9819930049373194,0.9769230769230769,0.9744274661508704,0.9721166622444998,0.9707317073170731,0.9686475155969358
5,394974,"Philadelphia, PA",Msa,0.9185898695649284,0.9142612104876255,0.9201388888888888,0.9306654257794323,0.9366869037294016,0.9413369713506139,0.934287259574722,0.9244896459054303,0.9233610341643582,0.9176470588235294,0.9145470134324093,0.91,0.9037410676754939,0.8974537086512635,0.8980629710141865,0.9005085839910797,0.9172413793103448,0.9241950535388006,0.9253246753246753,0.915525465456224,0.9083333333333333,0.9054537797431038,0.8990825688073395,0.9004739336492891,0.8933155237796667,0.8950508950508951,0.9,0.906816760475297,0.92,0.9296305012944223,0.9336445481827276,0.9293124859436572,0.9230769230769231,0.9197530864197531,0.9207365892714171,0.9232657275543886,0.9173426033217459,0.9197994987468672,0.9216370269037848,0.9314312445954438,0.9411306986111474,0.9498672163723141,0.9541152639070352,0.9462817020048735,0.9418837675350702,0.9382819015846539,0.9305850257653835,0.9306654257794323,0.9285714285714286,0.9244992295839753,0.93042071197411,0.936145307051875,0.9453333333333334,0.9553232305900663,0.9523809523809523,0.9484393861010519,0.9424842919284678,0.9395758303321329,0.9333333333333333,0.9282263304402542,0.9245225826007881,0.9237049117660237,0.9289031797070382,0.9444019057342181,0.954653937947494,0.9553158705701078,0.9587328053355565,0.9515740143958283,0.9433962264150944,0.9435481684972694,0.940825883354619,0.9376683339746056,0.9306803594351734,0.9333333333333333,0.9362079036120987,0.9503167722574192,0.961339303895812,0.9654934437543133,0.9646302250803859,0.9620935710647649,0.9577464788732394,0.9552238805970149,0.9510086455331412,0.95,0.9461609172663261,0.9417779422151963,0.9516837481698389,0.9611111111111111,0.9676016525331593,0.9719839908519153,0.9705882352941176,0.9661016949152542,0.9631901840490797,0.9615236629472874,0.9574164046870535,0.9552238805970149,0.9534466950070851,0.9503167722574192,0.9569966376582278,0.96421342625685,0.9728692493946731,0.977492753146652,0.975,0.9731696225557072,0.9682539682539683,0.9626825310978907,0.9591990874899808,0.9565028273162245
6,394692,"Houston, TX",Msa,0.9467455621301775,0.9374248366013072,0.9494728682170542,0.9507294968028913,0.9601950889470652,0.9539650072810666,0.9443197831978319,0.9416705882352941,0.9304904904904905,0.9219512195121952,0.9117058823529411,0.9165910652920962,0.9030373626373627,0.9140290894821121,0.9184080633549316,0.9261758590163259,0.9205756524952403,0.9201313756420412,0.9132067664781928,0.9192745547875104,0.9203591836734694,0.9210495626822157,0.918840849569098,0.9210966057441253,0.9171247498332221,0.934453125,0.9259848821698533,0.9303861140630535,0.9380657080610022,0.9498769230769231,0.946762869099675,0.9540252897787145,0.9546423123123122,0.9374838709677419,0.9371937602627258,0.9365401459854015,0.943591419561123,0.9422914512497708,0.9439303613757078,0.9482905579907595,0.9545363858857727,0.9552631578947368,0.9545497934081518,0.9492061471921494,0.9568765957446809,0.9488117647058824,0.939191304347826,0.9357563415505539,0.9420289855072463,0.9407407407407408,0.953314982682687,0.9644257112750263,0.9653881278538813,0.9720100502512563,0.9698048780487805,0.9723384384384384,0.9637333333333333,0.956608,0.9498115151515152,0.9583568738229755,0.9722222222222222,0.9690608160123172,0.9705956085936295,0.9712374581939799,0.9780688431876607,0.9819156626506024,0.9720930232558139,0.9722991689750693,0.9655172413793104,0.9565217391304348,0.9608829431438127,0.9540054336468129,0.9564649212833846,0.9551282051282052,0.9657727266640087,0.9729150369404607,0.9709358490566038,0.9711972627702588,0.9727272727272728,0.9685513327343516,0.9607924904740879,0.9497714067829028,0.9522279478629888,0.9502728374655647,0.9506081601231716,0.9512195121951219,0.96,0.9601308139534883,0.9673882696235774,0.9636363636363636,0.9677840112201963,0.9596069141094608,0.9532944314771591,0.956564177647633,0.9574413793103448,0.9517420311341734,0.9552797202797203,0.9555223958742376,0.9611451942740287,0.9696186166774402,0.9699624530663329,0.9682463465553236,0.9671837837837838,0.9625489272252827,0.9622614191010417,0.9503785714285714,0.9495448278768541,0.9476215944089079
7,395209,"Washington, DC",Msa,0.949874686716792,0.9511500486719511,0.9531772575250836,0.9644234890698671,0.9653407769248662,0.9656372335798173,0.9617446218302199,0.957550030321407,0.9549150245610073,0.9555555555555556,0.9549575792351966,0.9519118909002258,0.9453594176524113,0.9447943682845499,0.954922236342173,0.9621466561712937,0.9636496706513784,0.9665695828500309,0.963656580632118,0.9599919967987195,0.950354609929078,0.9474921630094044,0.95,0.9486391885134653,0.9419898310655315,0.9482562214614021,0.9567783094098884,0.9695775313154644,0.974293059125964,0.9759476318635711,0.9743589743589743,0.9709302325581395,0.9714239985366746,0.9707785840360855,0.9706774519716885,0.9689953676153606,0.9662438129829434,0.9696969696969697,0.9792512556451272,0.9876543209876543,0.9902912621359223,0.9941975932003703,0.9914680788467196,0.9870967741935484,0.9832635983263598,0.9813186813186813,0.9764229578471064,0.9739690721649484,0.9663157894736842,0.9715365204260801,0.9795748228428511,0.9849942285494421,0.9884678747940692,0.9875016458360764,0.9821396672280917,0.9771986970684039,0.9720088365243005,0.970922378689369,0.9674964670072834,0.961048240791006,0.9595749114398833,0.9644444444444444,0.975020312940114,0.9826361483820047,0.9863703703703703,0.9850746268656716,0.980721342955369,0.9766187050359713,0.9722222222222222,0.970583909398441,0.96875,0.9646643109540636,0.9629629629629629,0.9644012944983819,0.9752994501958332,0.9844961240310077,0.9883305548940224,0.9864077669902913,0.9859649122807017,0.980327868852459,0.9770114942528736,0.9776207302709069,0.9759358288770054,0.9711684370257967,0.9710144927536232,0.9737827715355806,0.9837373885787051,0.9919906501900099,0.9925460965084347,0.9920431237754176,0.9884647066278038,0.9839497557571528,0.9826086956521739,0.9821428571428571,0.9803921568627451,0.9747474747474747,0.9734053085073419,0.9787234042553191,0.9887635643455418,0.9997930986919239,1,1,0.9937451095461659,0.9874821028992631,0.9838709677419355,0.9819168107895999,0.9786278690475592,0.9738461538461538
8,394856,"Miami-Fort Lauderdale, FL",Msa,0.8773466833541927,0.8670038375026743,0.8705701078582434,0.8682855040470935,0.8861061023633918,0.8921417565485362,0.9069212410501193,0.9122807017543859,0.9065332916536417,0.9047619047619048,0.9064583333333334,0.9041095890410958,0.9059233449477352,0.9047619047619048,0.8931552587646077,0.8945260347129506,0.8953429992410225,0.8990173319635766,0.9038089089735313,0.9125893347993403,0.9157509157509157,0.9103047572404889,0.9142857142857143,0.916963670704537,0.9196949304620906,0.9197619047619048,0.9181969949916527,0.9203219186866743,0.924295544397632,0.92884744921473394,0.9338677354709419,0.9380863039399625,0.938242580042066,0.9422850412249706,0.9422850412249706,0.9394572025052192,0.9418471380022656,0.9373148990358378,0.9370529327610873,0.9403508771929825,0.9428571428571428,0.9425650523869187,0.9496918618630019,0.9523809523809523,0.9518877326846206,0.9504132231404959,0.9485562258175186,0.9454573868075977,0.9433962264150944,0.9401544039748606,0.9380863039399625,0.9368788225105661,0.9386733416770964,0.9426074608981161,0.9404761904761905,0.9409340659340659,0.9412157386319013,0.9402835778239411,0.9370629370629371,0.9371428571428572,0.9346670834635824,0.9338842975206612,0.9349112426035503,0.9359082457733385,0.9428571428571428,0.9456521739130435,0.9448246589778115,0.9440867955573837,0.944954128440367,0.9433962264150944,0.9433962264150944,0.9419604461863503,0.9399141630901288,0.9383033419023136,0.9420560747663551,0.9411764705882353,0.9425357251444207,0.9461538461538461,0.9466321366910757,0.9467561322619448,0.9454949944382648,0.9444444444444444,0.9438202247191011,0.9423390581871915,0.9385447466127061,0.9393939393939394,0.9391304347826087,0.9403508771929825,0.9414225941422594,0.9417344173441734,0.9414009522435435,0.9445869530879798,0.9433962264150944,0.944,0.9411764705882353,0.9417106958818169,0.9388646288209607,0.9409501752675185,0.9422492401215805,0.9434940296574189,0.9424460431654677,0.9453781512605042,0.9448693973208193,0.9472088911341248,0.9432387312186978,0.9417040358744395,0.9419795221843004,0.9391771019677997
9,394347,"Atlanta, GA",Msa,0.8771929824561403,0.874819072649331,0.8794294714507931,0.8904452226113057,0.8930166101089481,0.9080779944289693,0.9033715350425215,0.9001318224824375,0.889053528431191,0.8907950472466601,0.8742057942057943,0.8761904761904762,0.8695652173913043,0.8571428571428571,0.8709677419354839,0.8769230769230769,0.8916920400173989,0.8936333907291969,0.8875739644970414,0.8999165943795697,0.8870159898614032,0.8931454713209288,0.9047619047619048,0.900705467372134,0.9044776119402985,0.8975509828292594,0.9142857142857143,0.9317233707240196,0.936228448275862,0.9378280929596718,0.9391588403429971,0.9435310936383131,0.9417808219178082,0.9454949944382648,0.9444444444444444,0.9486604576290675,0.9445966747712161,0.9545454545454546,0.9565217391304348,0.9623466272461206,0.9619724669031932,0.9625601637704713,0.963302752293578,0.9629629629629629,0.96,0.9575724915683177,0.9545804464973057,0.9519230769230769,0.9533400946585531,0.9521255115961801,0.9562740260950229,0.963302752293578,0.9662398137369034,0.9653561697158427,0.9627570340700577,0.9576714358210421,0.953813833225598,0.9512046310212949,0.9487055377665252,0.948,0.9488372093023256,0.9506790564689064,0.9612610095113898,0.9646237196772696,0.97,0.9697821962210451,0.9676258992805755,0.9636507017669402,0.9614285714285714,0.9575873070870689,0.9568805373252621,0.9555555555555556,0.954923117410429,0.9598214285714286,0.9662921348314607,0.973525377229081,0.9782608695652174,0.978435943653619,0.9764098905524116,0.9739826551034023,0.9704054138173281,0.9694947299405923,0.9682804674457429,0.9658519758705693,0.9666666666666667,0.9676470588235294,0.9754877438719359,0.9792626728110599,0.9824846716224195,0.9814036012636749,0.9795931976418202,0.9757853767028078,0.9736842105263158,0.9711538461538461,0.9711595055915244,0.9711428571428572,0.9698492462311558,0.9757575757575757,0.98,0.987012987012987,0.9885960512022866,0.9868073878627969,0.9852547347363156,0.97999799979998,0.9772727272727273,0.9730250481695568,0.971570575637229,0.9704090513489991
