RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01
102001,United States,0,188500,185e3,180700,176800,175200,174300,173500,171900,169400,166100,163400,162100,159900,155600,151500,150700,152800,155700,157500,158400,159800,161e3,163300,163500,164700,161700,159600,156e3,156700,157300,159100,158200,158400,157500,158e3,157200,155200,152400,149500,149e3,149700,15e4,149400,148300,148200,148800,148800,148600,148700,149600,151400,153400,155300,157e3,157600,158900,159900,162200,163e3,163200,163700,165300,167800,169600,172100,174200,174600,174900,174300,174500,174e3,175100,175700,176200,176400,177100,178500,18e4,181600,182200,182200,182100,184e3,186200,189200,190700,192100,192600,193400,193e3,192800,192e3,192200,193800,195900,197200,197e3,197300,197700,199400,2e5,201500,202100,204200,206300,207600,209e3,209700,210800,210800,210800,210900,211600,212300,214400,216e3,219100,220800,224800,228500,231900,231200,228500,225900,224900,224800,224900,225500,226900,226500,
394913,"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363100,361900,362e3,363200,365700,361900,356500,353600,353300,350800,340600,329300,324900,322600,324e3,324100,329e3,332300,336700,337700,336100,336e3,337500,339100,336300,333500,329500,330700,330700,334900,337400,341500,349500,353500,355500,351e3,349600,348400,349100,349400,35e4,352400,352600,353400,354700,354100,353900,352800,353600,355500,354500,354800,354800,352300,352300,350700,353700,355700,357200,359e3,359400,357600,357800,358400,360400,360200,360100,361400,362600,362e3,362200,361300,361e3,356500,359900,363200,372500,373800,374700,374200,372100,374500,375100,379400,380700,381100,381500,382900,386800,387700,387400,387400,389500,390700,388700,387700,386200,
753899,"Los Angeles-Long Beach-Anaheim, CA",2,476200,463700,447200,436200,421300,407400,391700,379100,367800,356400,342200,331800,325600,321300,320400,326300,334500,341200,348700,355600,363600,366600,371e3,369300,368e3,363300,366600,363900,365800,360700,366600,365100,368500,364900,361600,358100,355200,355600,352500,348300,347200,345400,344700,338600,338600,336800,337800,335800,336800,340700,344300,349e3,355900,363100,372600,377700,387400,395300,399100,400600,405900,420600,433400,443100,447100,450100,451600,453800,456600,456900,454900,455600,457400,460800,464100,464800,467400,468100,470200,473800,475700,477900,480500,486700,491700,495800,494200,498e3,499200,504200,504600,503100,504300,510200,518300,520600,520700,522800,528300,53e4,529500,530800,532400,530800,530100,527700,531600,525500,529400,529600,538600,540300,544200,545400,551300,562e3,580200,589600,597700,601700,610400,611400,614100,615200,616500,617400,,,,,
394463,"Chicago, IL",3,258100,254200,238700,225900,223300,222800,226600,225e3,222200,218500,212800,211600,207700,203e3,194e3,187700,187900,191300,194300,196700,198300,198100,198200,2e5,198300,194900,187200,186100,183500,184200,180700,182500,186100,187200,185600,181400,177400,172100,165200,163200,165300,168900,169400,167500,164500,165300,161500,161500,158900,160200,158600,161400,162900,165400,164700,163600,164500,163300,164500,162900,162800,162500,166100,172100,182700,187600,192300,192900,194e3,194300,192500,195600,194800,194100,191500,193300,196200,199900,203500,204200,203e3,199700,200600,202500,205400,206800,206100,204300,201900,194800,191200,186900,186600,184500,183200,183600,185200,187400,188400,189400,190400,193300,192500,193300,194700,198700,202200,204100,206e3,206300,205700,203e3,200100,198700,198200,199700,202900,206300,212e3,217600,227300,229e3,226200,221600,221e3,220600,219500,220200,225700,223100,225300
394514,"Dallas-Fort Worth, TX",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199500,201e3,202100,202700,202300,202300,204100,205200,206100,206900,207900,209400,212400,214700,217700,218400,219e3,22e4,220100,220100,221300,226e3,230800,232600,232e3,230600,231200,232400,235500,237800,239600,240700,242400,246400,248900,248500,245600,243700,246400,247e3,251e3,252700,255e3,252900,
394974,"Philadelphia, PA",5,210500,209700,207200,198400,195200,195300,197100,197600,198600,197100,196200,195e3,199700,199900,195900,188700,186e3,189100,191100,192900,194100,197400,2e5,200500,202e3,202e3,198400,191700,188800,186200,188100,188400,193e3,195100,2e5,200400,198400,192700,185100,181400,180100,181900,180700,179600,179700,182800,184e3,186100,185800,186e3,185500,187e3,187200,187900,182500,182600,185e3,193800,196600,194800,192300,191700,191e3,191600,193800,197800,196800,195800,194700,195100,194600,192400,194700,193200,193100,191300,191400,192700,193300,195200,194500,193e3,191700,188700,189300,191500,195e3,195300,193600,192400,193300,193700,193600,190200,191900,196e3,197100,195e3,192200,194e3,195800,196100,196700,194500,195600,198800,199500,200900,199800,201300,202300,201900,202e3,199800,197800,196500,196e3,199600,200100,197900,197900,198300,202400,199700,198600,198600,2e5,201600,202700,203900,
394692,"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182400,181800,184900,186200,188500,187400,188500,189200,189900,190900,191400,192100,193100,192800,193200,189900,189700,188500,192100,193400,195600,193200,193700,194400,198700,201600,203100,205e3,206700,208700,211500,212400,214900,215500,215500,215800,215400,216700,217100,220200,223900,224300,221800,217900,219800,222100,226200,226e3,223500,221600,220100,223500,226600,229700,229500,
395209,"Washington, DC",7,359200,348600,332400,318200,312200,309900,301900,293800,286600,280800,281900,279600,282800,276600,273500,273700,282200,296e3,303100,302700,301100,300700,301400,297700,296600,299400,297800,292e3,291900,284900,293900,290800,305e3,304600,303900,302100,289e3,280500,272e3,273600,285500,294800,305e3,297200,290300,283200,285100,282100,293200,298e3,31e4,312900,320600,321400,319500,317e3,318700,316600,319200,316100,325300,328e3,338e3,341300,346100,347200,344200,340800,339800,339500,341600,338800,341100,340600,350900,351300,354500,347900,346500,345100,347300,350200,350200,350700,357100,358300,357700,349800,347e3,345e3,346900,349400,350100,345900,346600,350300,351500,352700,349300,350200,348800,351e3,352900,356900,355700,357e3,358700,359300,360500,359400,360400,359700,360100,360600,362200,362200,364e3,366200,370100,374e3,381500,384100,384200,378400,373500,373400,374200,375200,376500,376100,
394856,"Miami-Fort Lauderdale, FL",8,259700,250500,236100,228500,223600,221500,213900,206200,194800,186500,175e3,168200,159700,152100,142e3,137100,137700,141100,143300,143400,143600,144900,146e3,147400,147500,145400,143800,141e3,137200,131300,126800,128e3,130700,13e4,122900,119300,115900,118900,119800,122900,127e3,125700,124400,122800,124e3,127600,130200,134100,135600,137500,138100,140600,140800,141200,143e3,146100,148900,153e3,157400,162300,160700,160700,162700,167800,170400,171900,173e3,174500,176200,177600,180400,180500,180700,179700,181200,184500,187900,187800,187800,188600,192400,195700,196300,198500,199400,202100,205700,207900,209300,207800,207800,208500,205400,206500,208100,218300,220600,222900,219300,219800,220600,222100,224800,228600,228800,229300,228300,236100,238400,241500,237900,238100,236400,238500,242e3,244700,245400,245900,252e3,261100,268500,268200,264700,262100,260600,260200,259500,263300,264100,264700,
394347,"Atlanta, GA",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94500,95200,95700,98e3,97e3,97200,96900,97200,98400,99800,103400,105400,107800,108800,112900,116800,121200,123600,126600,128400,132100,135200,140900,141700,141900,139700,139e3,139500,140400,140800,140200,141200,144900,149100,153e3,154100,155200,154900,157400,16e4,162700,163600,169500,171700,173400,168800,168800,169500,169800,170800,172400,175e3,175500,175500,174700,174300,173300,175100,176e3,178200,179200,182100,183e3,184900,186900,191200,193300,194800,194200,193200,192200,193100,195600,197100,199500,203900,210400,212800,213400,211200,210600,208300,204700,206200,208700,213e3,212700,
