"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
9,"California",1,129900,129500,129100,128600,128200,127900,127700,127600,127700,127900,128000,127900,127900,128000,128200,128400,128800,129200,129900,130700,131700,133000,134100,135100,136000,136700,137400,138100,138700,139400,140200,141100,142200,143500,144700,145700,146800,147900,149000,150200,151600,153000,154500,156200,158100,160200,162200,164200,166200,168200,170200,172100,174000,175900,177700,179500,181400,183500,185600,187500,189500,191500,193600,195700,197800,200000,202300,204700,207300,210000,212700,215500,218500,221800,225200,228700,232300,236000,239800,243600,247300,250800,254200,257700,261400,265200,269200,273400,277800,282400,287200,292200,297500,303100,309300,316100,323500,331400,339600,347600,355200,362200,368800,374800,380500,386000,391300,396400,401500,406300,411000,415600,419700,423600,427200,430300,432900,435200,437000,438500,439700,440500,440700,440200,438800,437100,435300,433300,431400,429700,427800,425500,422900,420100,416700,412800,408200,403200,398100,392800,386900,381000,374500,367100,359200,351300,343600,336600,330400,324800,319400,314200,309100,304400,299400,293900,288000,282100,276800,273200,270900,269300,268500,268100,268300,267700,267300,267100,266900,266400,266000,264500,263300,261900,260200,258400,256300,254100,252300,250600,248700,246800,245100,243600,242000,240000,238200,237200,236500,235900,235600,236100,237400,239300,241200,242800,244300,246300,249000,252000,255000,258100,261900,267100,272900,279200,285900,292200,297800,302700,306600,309900,312800,315600,318400,321600,324800,327600,329800,331800,333200,334400,336000,337700,339500,342000,344800,347200,349700,352300,355000,357700,360200,362700,365200,367600,370600,373700,376100,378000,380100,382300,384600,387400,390600,393800,397000,400400,403600,406600,409200,411500,413900,416800,419700,422400,425300,428500,431300,434000,437100,441400,446100,449300,451100,453000,454900,456600,457900,459200,460500,461300,461600,461800
54,"Texas",2,50900,51000,51000,51100,51100,51100,51200,51200,51200,51200,51200,51100,51100,51200,51200,51300,51300,51400,51600,51900,52300,52800,53300,53800,54200,54700,55000,55300,55600,55800,55900,56100,56300,56600,56900,57200,57500,57900,58300,58800,59400,60300,61200,62000,62700,63200,63400,63400,63300,63200,63000,62900,62600,62200,61800,61300,60800,60400,60200,60000,60000,60100,60200,60300,60400,60500,60600,60700,60800,60900,61100,61200,61500,61800,62100,62400,62800,63200,63600,63900,64200,64500,64700,64800,64900,65000,65100,65100,65200,65300,65400,65600,65900,66400,67100,67900,68700,69400,69900,70400,70900,71400,71900,72400,72800,73200,73600,73900,74100,74300,74400,74400,74400,74400,74500,74600,74800,74900,75100,75300,75600,75900,76200,76600,76900,77200,77500,77700,77900,78000,78200,78300,78300,78400,78500,78600,78700,78800,78800,78800,78600,78400,77900,77400,76800,76200,75700,75400,75100,74800,74700,74500,74400,74300,74200,74100,74000,73700,73500,73200,72900,72600,72400,72200,72000,71800,71800,71800,71800,71600,71400,71000,70700,70700,70700,70500,70300,70000,69700,69500,69400,69400,69300,69000,69100,69300,69200,68900,68500,68600,68400,68200,68300,68300,68200,68900,69400,69200,68800,69000,69400,69600,69900,70000,69900,70100,70600,70800,70600,70600,70800,70900,71000,71100,71200,71400,71700,72000,72200,72100,72200,72600,73200,73600,73900,74300,74700,75300,75900,76400,76700,76800,77000,77300,77600,78000,78600,79000,79300,79900,80700,81500,82800,84400,85700,86500,87400,88400,89500,90300,91200,92400,93900,95500,96600,97200,97800,98800,100000,100800,101300,102800,105100,107000,108500,109800,110800,112000,113200,114300,115500,116900,118300,119500
43,"New York",3,71700,71400,71100,70800,70500,70300,70100,70000,69900,69800,69800,69700,69600,69500,69400,69300,69300,69400,69500,69600,69800,70000,70200,70300,70500,70600,70700,70800,70900,71000,71100,71100,71200,71400,71500,71600,71700,71900,72200,72500,72800,73100,73300,73500,73700,74000,74300,74600,74900,75200,75400,75500,75600,75700,75800,75900,76100,76400,76700,77100,77400,77900,78300,78600,79000,79400,79900,80300,80800,81300,81700,82200,82700,83200,83600,83900,84300,84700,85100,85500,86000,86500,87000,87500,88100,88700,89300,90100,90800,91600,92200,92800,93300,93900,94500,95100,95900,96700,97600,98400,99200,100000,100800,101800,102800,103800,104800,105700,106500,107300,108000,108900,109800,110800,111900,112900,113900,114900,115700,116500,117200,117800,118400,118900,119300,119800,120200,120600,120900,121300,121600,121900,122200,122500,122900,123200,123500,123800,124000,124200,124100,124100,124000,124000,123900,123900,123700,123500,123100,122600,122200,121700,121300,121100,120900,120700,120400,120200,119800,119600,119600,119800,120000,120200,120500,120500,120600,120600,120400,120100,120300,120400,120400,120100,119700,119300,118900,118400,117900,117600,117400,117200,116900,116700,116300,115900,115600,115400,115300,115100,115000,114900,114800,114700,114700,114700,114600,114600,114700,114800,115000,115200,115200,115600,116000,116300,116600,116900,117000,117300,117800,118200,118700,119000,119400,119800,120000,120000,119900,119800,120100,120200,120100,120100,120100,120100,120300,120200,120300,120600,120900,121200,121500,121700,122000,122200,122200,122200,122400,122600,123000,123500,123900,124000,124200,124600,125000,125500,125900,126300,126900,127700,128500,129300,129700,130400,131500,132500,133300,134000,134600,135100,135800,136200,136300,136800,137800,138600,139100,139300,139600,139800,140300,140800
14,"Florida",4,65600,65700,65700,65800,65800,65900,66000,66100,66300,66500,66700,66900,67000,67100,67200,67300,67400,67600,67800,68100,68400,68800,69100,69300,69500,69600,69700,69800,70000,70200,70500,70800,71100,71400,71700,71900,72100,72400,72700,73100,73300,73600,73900,74200,74600,75000,75300,75700,76100,76400,76700,77000,77400,77900,78300,78900,79600,80300,81100,81900,82800,83700,84600,85500,86400,87200,88100,89000,89900,90800,91600,92300,93000,93700,94500,95200,96000,96900,97800,98900,100000,101100,102400,103700,105100,106500,108100,109800,111400,113100,114700,116400,118100,119800,121600,123500,125500,127700,130000,132600,135300,138100,141000,144000,147200,150600,154100,157800,161800,165900,170000,174100,177900,181600,185000,188200,191000,193800,196300,198800,201300,203400,204900,205900,206400,206400,206000,205100,203800,202600,200800,198700,196500,194300,191700,189000,186200,183400,180300,177000,173400,169900,166100,162200,158500,154900,151100,147500,143800,140100,136400,132700,129000,125600,122000,118300,114600,110900,107300,104300,101800,99700,98000,96700,96000,94900,94400,93700,92400,90800,90300,89300,88100,86800,85600,84600,83400,82200,81000,80300,79700,79200,78500,78000,77600,77500,77700,77600,77400,77400,77600,77800,78000,78500,78800,79000,79300,79700,79900,80500,81300,82100,82700,83700,84900,86100,87400,88900,90300,91400,92400,93500,94600,95700,96900,98300,99600,101000,102400,103700,105000,106300,107300,108100,108900,109900,110800,111900,113100,114600,115800,117000,118200,119400,120400,121500,122700,123800,125100,126400,127700,129000,130500,132200,133700,135300,137200,139100,140900,142700,144000,145200,146700,148100,149200,150400,151800,153100,154200,155200,156100,157500,159300,160600,161600,162900,164000,164800,165600,166400,167300,168400,169300,169900
21,"Illinois",5,90100,90600,90900,91000,90900,90600,90000,89300,88700,88100,87500,86800,86200,85500,84900,84300,83600,83100,82700,82700,83100,83900,84800,85700,86600,87700,88700,89800,91100,92300,93500,94500,95400,96000,96400,96400,96400,96400,96400,96400,96700,97000,97500,98100,99000,100000,101000,101900,102800,103600,104500,105300,106000,106700,107400,108100,108900,109700,110400,111100,111900,112700,113600,114500,115400,116300,117100,117900,118700,119600,120400,121200,122000,122700,123500,124300,125000,125900,126800,127600,128500,129200,129900,130600,131300,132100,132900,133800,134600,135500,136300,137100,138000,139000,140000,141100,142300,143400,144500,145600,146700,147700,148800,149800,150800,151800,152500,153100,153700,154300,155100,156200,157400,158700,160000,161200,162300,163400,164400,165300,166200,167000,167600,168100,168600,169000,169300,169600,169700,170000,170200,170300,170500,170500,170100,169800,169500,169200,169100,168700,167900,167000,165900,164700,163500,162200,160700,159000,157100,155200,153700,152000,150200,148600,146900,145000,142900,140700,138300,136000,133800,131700,129800,128300,127400,125900,125300,124800,123500,122000,121800,121000,120200,119100,117400,115800,114500,113600,112400,111100,109900,108700,107100,105600,104200,102800,101600,100300,98900,97200,95700,94400,93700,93200,92800,92300,91900,91500,91000,90600,90500,90700,90800,91000,91100,91300,91300,91800,92500,93400,94500,95300,95700,96200,96500,96900,97800,99100,100500,102000,103200,104000,104700,105700,106900,108000,109000,109900,110700,111600,112300,112800,113200,113800,114600,115100,115400,115600,116300,117200,118100,118800,119500,120000,120600,121200,121500,122000,122500,123100,123800,124800,125500,126100,126500,127000,127700,128700,129800,131000,132000,133000,134000,135000,135900,136800,137400,137900,138500,139000,139600,140200,140700,141000
47,"Pennsylvania",6,65500,65400,65400,65400,65400,65600,65900,66300,66800,67300,67800,68200,68600,68800,68900,69000,69100,69200,69200,69300,69400,69600,69800,70000,70200,70400,70600,70900,71100,71400,71600,71900,72100,72200,72300,72400,72600,72600,72700,72900,73000,73100,73300,73600,73900,74100,74400,74700,74900,75100,75300,75400,75600,75700,75900,76100,76300,76500,76900,77300,77700,78200,78700,79300,79800,80200,80600,81000,81400,81800,82300,82800,83300,83700,84100,84500,84900,85300,85700,86200,86700,87100,87600,88100,88700,89200,89800,90400,91000,91500,92100,92600,93000,93600,94200,94800,95400,96100,96900,97600,98400,99300,100200,101200,102000,102700,103200,103800,104600,105400,106400,107400,108400,109400,110200,111100,111800,112600,113300,114000,114700,115400,116100,116700,117300,117800,118200,118700,119100,119500,119900,120300,120600,120900,121000,121000,120900,120900,121000,121000,120900,120800,120600,120400,120200,119800,119500,119200,118900,118600,118500,118400,118300,118300,118200,118200,118000,117900,117600,117500,117400,117300,117400,117500,117600,117800,117900,118000,118000,117900,117800,117700,117400,116700,115900,115200,114700,114100,113600,113100,112500,111900,111200,110300,109700,109500,109100,108500,107900,107400,107000,106700,106400,106100,106000,106100,106200,106100,106300,106500,106700,106800,106900,107200,107400,107700,107800,107900,108000,108000,108000,108100,108200,108400,108400,108600,108800,109000,109200,109500,109700,109900,110200,110600,110700,110800,111200,111500,111800,112100,112700,113300,113800,114100,114400,114800,115100,115400,115900,116100,116200,116700,117400,117700,118100,118300,118600,118900,119400,119800,120200,120800,121600,122300,122700,123400,124100,125000,125600,126500,127500,128200,128900,129700,130500,131100,131800,132400,132900,133400,134100,134600,134900,135200
44,"Ohio",7,62800,63100,63300,63600,63800,64000,64200,64400,64700,65000,65200,65400,65600,65800,66000,66200,66500,66700,66900,67100,67400,67800,68100,68500,68700,69000,69400,69600,69900,70200,70600,70900,71200,71500,71700,72000,72200,72400,72700,72900,73200,73500,73900,74200,74600,75000,75400,75700,76000,76300,76600,76800,77100,77300,77500,77700,78000,78300,78600,78900,79100,79400,79600,79900,80100,80400,80600,80800,81000,81300,81500,81700,81900,82100,82400,82600,82800,83000,83200,83400,83700,84000,84200,84500,84800,85000,85300,85500,85800,86000,86200,86400,86500,86700,86900,87100,87300,87500,87700,87900,88100,88300,88600,88800,89000,89200,89300,89500,89700,90000,90200,90400,90500,90600,90700,90700,90700,90700,90700,90700,90600,90600,90500,90500,90400,90400,90300,90200,90100,90100,90000,89900,89800,89600,89300,88900,88500,88200,87800,87400,86900,86500,86000,85500,85000,84500,83800,83300,82800,82300,81900,81500,81100,80700,80300,80000,79600,79200,78700,78300,78100,77800,77600,77400,77300,77000,76900,76800,76600,76500,76600,76300,75900,75600,75200,74600,74000,73500,72800,72100,71400,70900,70400,70100,69700,69200,68900,68800,68700,68700,68500,68300,68100,67900,67800,67600,67400,67400,67300,67100,67100,67200,67300,67400,67400,67500,67800,68000,68200,68500,68600,68600,68700,68800,68900,69100,69500,69800,69900,70000,70100,70100,70500,71000,71100,71200,71400,71900,72300,72500,72700,72900,72900,73100,73400,73600,73700,73900,74000,74200,74500,74700,74800,75200,75700,76000,76200,76700,77200,77500,78100,79000,79700,80500,81200,81700,82400,83000,83500,83900,84100,84600,85300,85600,85900,86600,87400,87900,88600,89200,89700,90200,91100,91800
30,"Michigan",8,76300,76700,77200,77800,78300,78700,79200,79600,80000,80600,81200,81700,82300,82800,83400,84100,84700,85300,85900,86500,87200,87900,88700,89300,89900,90400,90800,91200,91600,92000,92400,92800,93400,94000,94700,95400,96200,97000,97800,98500,99300,100100,100900,101700,102600,103600,104400,105200,106000,106900,107600,108300,109000,109700,110300,110900,111500,112000,112500,113000,113400,113800,114100,114500,114800,115200,115500,115800,116100,116500,117000,117500,118000,118600,119100,119600,120100,120600,121100,121600,122000,122300,122400,122400,122500,122700,123000,123400,123800,124200,124600,125000,125400,125700,126100,126400,126700,126900,127200,127500,127800,128200,128600,129000,129300,129700,130000,130400,130700,131100,131300,131500,131700,131800,131900,131900,131700,131600,131400,131200,131000,130700,130300,129900,129500,129100,128600,128000,127400,126800,126000,125300,124600,123900,123000,122000,120900,119700,118600,117300,116100,115000,113800,112500,111100,109700,108000,106200,104500,102900,101300,99700,98100,96500,94900,93400,91800,90200,88500,86700,85000,83500,82100,80900,80200,79300,78900,78800,78000,76800,76500,76200,75800,75400,74900,74200,73300,72600,71900,71100,70400,69800,69300,68900,68600,68100,67800,67900,68300,68500,68600,68800,69300,70100,70800,71300,71900,72800,73700,74500,75000,75700,76400,77200,78300,79500,80500,81600,82800,83900,84900,85900,87000,88100,88800,89300,90300,91400,92400,93400,94600,95500,96200,97000,97700,98600,99400,100200,100700,101400,101900,102700,103700,104800,105600,106500,107400,108400,109400,110400,111100,112000,113200,114200,115100,115800,116700,117600,118400,119100,120200,121800,123100,124000,124900,125600,126000,126400,126900,127400,128000,128600,129400,130300,131200,132500,134000,135100,136000,136800,137600,138500,139400,140200
16,"Georgia",9,60900,61100,61300,61500,61800,62100,62300,62700,63100,63400,63800,64100,64300,64500,64800,65100,65400,65800,66100,66500,67000,67500,67900,68300,68700,69100,69500,69900,70300,70700,71100,71600,72200,72800,73500,74100,74700,75400,76100,76800,77300,77800,78300,78800,79400,80000,80600,81300,81900,82600,83200,83900,84500,85200,85900,86600,87300,88100,88800,89500,90200,90900,91600,92300,92800,93400,94000,94600,95200,95900,96500,97200,97900,98600,99200,99800,100300,100700,101100,101600,102100,102700,103100,103500,103700,104000,104300,104700,105000,105400,105800,106500,107500,108900,110400,111800,113000,113800,114400,115100,116200,117500,118800,119300,119000,118100,117200,116600,116500,116800,117300,117900,118400,118700,119100,119600,120000,120600,121000,121400,121700,122100,122400,122700,123000,123200,123500,123900,124300,124900,125300,125600,125800,125900,125600,125300,124900,124400,123900,123300,122500,121600,120400,119300,118300,117400,116300,115100,113800,112500,111400,110300,109200,108100,106900,105600,104300,103000,101500,100100,98500,97000,95700,94600,93900,93000,92700,92200,91100,89800,89200,88400,87600,86800,85500,83700,82300,81000,79400,78000,76900,75800,74700,73500,71900,70300,69100,68100,66800,65800,65000,64300,63500,62800,62000,61600,61900,62300,62700,63300,64100,64800,65200,65400,66100,67200,68000,68600,69200,70100,70800,71400,72000,72600,73400,74600,75600,76400,77300,78300,79300,79700,79900,80600,81400,81900,82300,82900,83500,84100,84600,85200,85700,85900,86100,86600,87100,87600,88400,89400,90400,91800,93300,94700,96100,97500,98800,99900,101100,102500,103800,105300,107000,108400,109500,110600,111900,113500,115000,116300,117500,119200,121400,123100,124400,125800,127300,128400,129300,130700,133000,135400,137000,137900
36,"North Carolina",10,55100,55200,55300,55400,55600,55800,56100,56400,56800,57200,57600,58000,58300,58700,59000,59300,59700,60000,60400,60900,61400,62000,62700,63300,63900,64500,65000,65500,65900,66200,66700,67100,67400,67800,68200,68600,69100,69600,70100,70600,71100,71400,71800,72100,72300,72500,72700,73000,73200,73400,73700,74000,74400,74600,74800,75000,75200,75300,75500,75600,75800,75900,76100,76200,76400,76500,76600,76800,76900,77100,77300,77500,77700,77900,78000,78100,78100,78100,78200,78300,78500,78800,79200,79500,79800,80100,80300,80600,80800,81100,81500,82000,82600,83300,84000,84800,85500,86100,86600,87000,87400,87800,88200,88500,88700,88500,88200,87700,87300,87100,87100,87300,87600,88100,88500,89000,89300,89700,90100,90600,91000,91500,91900,92500,93000,93400,93800,94200,94500,94900,95300,95600,96000,96300,96600,96900,97200,97400,97500,97600,97600,97500,97500,97500,97400,97300,97100,96900,96500,96100,95800,95500,95300,95100,94900,94700,94400,94100,93700,93200,92600,92200,91800,91500,91400,91100,91000,90800,90500,90100,90100,89900,89500,88900,88300,87700,86900,86300,85800,85300,84800,84200,83500,82900,82600,82400,82200,81900,81600,81300,80900,80600,80700,80700,80400,80200,80100,79900,79900,80000,79700,79500,79500,79500,79500,79700,79800,80000,80100,80300,80300,80300,80600,81000,81200,81200,81100,81200,81300,81500,81600,81700,81900,82200,82500,82500,82700,83000,83300,83400,83500,83800,84000,84300,84500,84700,84900,85300,85600,86000,86600,87500,88300,89000,89700,90300,90800,91300,92000,92600,93300,94200,95000,95600,96300,96800,97500,98100,98800,99500,100000,100900,102400,103700,104600,105500,106200,107100,108100,109200,110500,111800,113100,113900
