"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
9,"California",1,139500,139100,138600,138100,137700,137500,137400,137400,137700,138100,138500,138600,138700,139000,139300,139700,140200,140900,141700,142700,144000,145500,147000,148300,149500,150700,151900,153100,154300,155500,156700,158000,159600,161100,162600,163800,165100,166500,167900,169300,170800,172400,174200,176200,178500,180900,183400,185800,188300,191000,193700,196500,199300,202100,204900,207700,210600,213500,216300,219100,221700,224200,226600,228900,231100,233200,235200,237300,239400,241500,243800,246300,248900,251800,254900,258300,261800,265300,269000,272700,276400,279900,283200,286600,290100,293700,297500,301600,305900,310700,315700,321100,326700,332800,339400,346600,354600,362900,371400,379800,387600,394800,401300,407300,413000,418400,423600,428600,433400,437600,441400,445000,448200,451100,453800,456000,458000,459700,461000,462100,462800,462900,462500,461200,459200,456800,454400,451700,449200,446900,444300,441500,438400,435000,431300,427100,422100,417000,411800,406300,400700,394800,388300,381400,374500,367800,361600,356500,352400,349000,345800,342700,339900,337400,334300,330700,326800,322600,319000,316900,316000,315500,315500,315700,315700,316100,316900,316300,315200,315200,314600,312700,311100,308900,306500,304100,301500,298400,295700,293500,291000,288300,285800,283500,281000,278400,276200,274800,273600,272300,271800,272400,273600,275100,276600,278400,280200,282500,285400,288800,292500,296100,300300,306400,313700,321400,329200,336400,342400,347800,352200,355500,358400,361500,364600,367500,370100,372500,374700,376700,378000,379400,381200,382900,384600,386800,389400,392100,394700,397200,399600,402200,404600,407100,409500,411900,414900,417800,419600,421400,423500,425400,427200,429500,431800,434100,436700,439600,442500,445100,447500,449700,452100,454700,457200,459900,463200,466600,469600,472600,476300,481600,486800,489800,491600,493900,496000,497400,499300,501000,502200,503000,503600,503900
54,"Texas",2,69200,69300,69400,69500,69600,69700,69800,70000,70200,70400,70600,70900,71100,71300,71400,71500,71500,71500,71600,71800,72200,72600,73100,73600,74000,74500,74900,75400,75800,76200,76600,76900,77200,77400,77600,77800,78000,78200,78400,78700,78900,79200,79500,79800,79900,80000,80000,80100,80100,80000,80000,80000,80100,80100,80200,80400,80500,80700,80700,80700,80700,80600,80500,80400,80400,80500,80500,80600,80800,80900,81200,81400,81600,81800,82000,82200,82400,82500,82700,82900,83200,83500,83700,84000,84200,84500,84800,85200,85500,85700,85900,86200,86500,87000,87600,88200,88800,89400,90000,90500,91000,91400,91800,92000,92200,92400,92500,92600,92700,92900,93100,93200,93300,93400,93500,93700,94000,94300,94700,95200,95800,96300,96700,97100,97500,97900,98400,98900,99300,99500,99700,99900,100000,100100,100300,100500,100800,101000,101200,101200,101100,100800,100500,100200,99900,99400,99000,98500,98100,97800,97500,97300,97100,96900,96800,96700,96500,96200,95900,95700,95700,95700,95700,95600,95500,95400,95500,95400,95000,94500,94000,93600,93500,93400,93300,93200,93000,92800,92500,92200,92300,92700,92900,92900,92800,92600,92400,92200,92000,92000,92000,91800,91900,92100,92600,93300,93600,93200,92800,92700,93100,93400,93600,93800,93800,93900,94000,93900,93800,94000,94300,94800,95300,95900,96300,96600,96800,97100,97300,97600,98300,99200,100200,100800,101000,101100,101700,102700,103800,104700,105800,107000,108300,109700,110600,111100,112000,112900,113800,115200,116800,118100,119300,120700,122100,123400,124600,125500,125900,126300,127000,127800,128500,129600,130600,130400,129900,130200,131100,131900,132600,133700,135100,136200,136900,137700,138700,139500,139700,139600,139700,140500,142200,143800
43,"New York",3,151900,151800,151500,151300,151100,150800,150700,150600,150800,151300,151700,152000,152300,152600,153000,153400,153800,154400,155100,155900,156900,158100,159200,160100,161000,161900,162800,163600,164500,165400,166300,167400,168800,170200,171700,173300,175000,176900,178800,180700,182600,184200,185700,187100,188800,190800,193100,195600,198400,201400,204600,208000,211500,215200,219000,222900,227000,231200,235600,240000,244400,248600,252400,255700,258700,261500,264100,266200,267500,267800,266800,264500,261800,259500,258200,257900,258700,260500,262900,266000,269700,274100,279500,285800,292500,298800,304600,309600,313600,316600,319300,321900,324500,327100,329800,332700,336100,340200,345200,350900,357300,364000,370700,377200,383600,390000,396400,403300,410700,417900,424800,431700,438700,445800,452700,459200,465200,470400,474400,477900,481600,484500,486100,486100,484300,481100,477600,474900,473800,473900,474400,475500,477100,477700,477600,478900,482100,486600,491500,495800,499500,502300,503600,505200,507200,507800,506600,505400,504500,503700,502400,500900,499500,498300,496400,495400,495600,495200,492900,489500,485700,482100,479100,477400,475800,475200,477100,472300,460800,454200,456000,457000,455800,453400,452400,451700,450600,449300,450300,453600,457300,459700,461800,463300,464600,466700,468700,470000,470600,470800,470600,471700,473600,474200,473000,473300,474900,476900,479100,482500,486000,488600,489700,492000,496800,502200,506400,510800,516500,522700,527300,530500,534900,539900,543400,547100,552400,557300,561100,565900,570700,574100,577500,580900,583100,585100,587600,590300,594400,600200,606000,610700,614800,619000,623600,627500,631100,635400,640100,644300,647000,648900,651400,654800,658400,659800,659600,661200,665700,670400,673600,676100,678500,681500,685000,689000,692300,697000,701700,704100,705700,709800,713700,716100,718200,721400,723600,722500,720000,719000,719000,718900,716100,711700
14,"Florida",4,71200,71300,71300,71300,71400,71400,71500,71600,71800,72000,72200,72400,72500,72700,72900,73000,73200,73500,73800,74000,74400,74800,75100,75200,75300,75400,75400,75400,75500,75600,75800,76000,76400,76700,77100,77400,77600,77900,78100,78400,78700,79000,79300,79600,80100,80500,81000,81500,81900,82400,82800,83200,83700,84200,84700,85400,86100,86900,87900,88900,90000,91200,92600,94000,95500,97000,98600,100100,101500,103000,104200,105400,106400,107400,108300,109300,110100,111000,112000,113000,114100,115300,116600,118100,119600,121100,122700,124200,125800,127300,128900,130500,132000,133600,135300,137100,139000,141100,143600,146400,149300,152500,155800,159300,163000,166800,170700,174800,179300,183900,188700,193400,197900,202100,206000,209500,213000,216200,219300,222400,225500,228000,229800,230900,231200,230900,230100,228700,227200,225400,223000,220500,218100,215300,212200,209100,205900,202600,199300,195600,191900,187900,183600,179500,175700,171900,168000,164300,160600,156900,153100,149300,145700,142100,138200,134400,130900,127200,123600,120500,118100,116000,114300,112900,111500,110700,111100,110200,107600,105700,104700,103100,101300,99800,98700,97700,96400,95200,94100,93100,92500,92000,91400,91000,90800,90600,90500,90500,90600,90700,90800,91300,92100,92800,93300,93900,94500,95100,95700,96500,97700,98700,99700,101000,102600,104400,106000,107600,109500,111100,112100,113300,114500,115500,116500,117800,118900,120000,121400,122800,124000,125000,125900,126600,127500,128300,129000,130200,131500,133000,134300,135300,136200,137300,138400,139200,140200,141200,142200,143200,144600,145800,147000,148300,149300,150500,152100,153800,155200,156200,157000,157600,158500,159300,160100,160800,161900,163000,163900,164200,164600,165800,167200,168100,168700,169500,170400,171100,171500,171800,172500,173300,174100,174500
21,"Illinois",5,106600,107600,108400,109000,109300,109400,109200,108800,108500,108300,107700,106900,106000,105000,103900,102800,101500,100500,100000,100000,100800,102300,103800,105400,107200,109100,111100,113000,114800,116600,118000,119200,120200,121000,121500,121800,122100,122500,123000,123600,124200,124900,125700,126500,127600,128800,130000,131100,132400,133700,135100,136500,138100,139700,141200,142700,144100,145400,146600,147500,148400,149200,150100,151100,152300,153700,155100,156600,158100,159500,161000,162400,163600,164600,165500,166400,167200,167900,168500,168900,169200,169500,169800,170100,170400,170800,171400,172100,172800,173500,174200,174900,175500,176200,177200,178300,179700,181100,182400,183600,184600,185700,186900,188200,189600,191000,192200,193300,194700,196200,197600,199200,200900,202600,204300,205800,207300,208400,209200,210100,210900,211400,211700,212000,212100,212300,212400,212500,212600,212700,212600,212300,212100,211400,210500,209700,209000,208400,207900,207100,206200,205000,203500,202300,201500,200300,198800,197200,195400,193700,192400,191000,189500,187900,186200,184500,182900,180700,178400,176800,175500,174300,173400,172700,171500,170800,171500,170800,168200,166600,165700,163900,162100,160000,157300,155100,153400,151900,150300,148600,146200,143300,140400,138400,136800,135300,133800,131900,130700,129600,128000,126400,125700,126100,126800,126500,125700,125100,124700,124700,125000,125100,125300,125800,126600,127600,128700,130200,131900,133400,134300,134500,134400,134600,134900,135800,137200,138200,138900,140300,141800,142500,142900,144000,145200,145800,146100,147200,149100,150300,151300,151500,151300,152000,153700,154700,154800,154700,155100,155700,156800,158300,159300,159700,160400,161100,161800,162600,163300,163700,164300,165000,165700,166100,166400,167000,167700,168100,168400,168900,169700,170900,171600,171800,171800,171600,171600,171800,171900,171900,172100,172400,172800,173200
47,"Pennsylvania",6,87800,87500,87200,87000,86800,86600,86400,86300,86200,86200,86200,86100,86000,86000,86000,86100,86200,86400,86700,87000,87400,87900,88300,88700,89000,89300,89500,89600,89700,90000,90300,90700,91200,91800,92300,92900,93400,93900,94400,94800,95200,95600,96000,96400,96900,97500,98100,98700,99300,100000,100700,101400,102100,102900,103800,104700,105600,106700,107700,108700,109700,110700,111600,112500,113400,114400,115300,116200,117200,118100,118900,119800,120700,121600,122600,123700,124800,126000,127200,128400,129600,130800,132000,133300,134600,135800,137100,138300,139500,140700,141900,143100,144300,145700,147000,148500,150000,151600,153400,155200,156800,158400,159900,161400,162900,164400,165700,167100,168600,170300,172000,173800,175700,177500,179200,180800,182100,183300,184300,185200,186100,187000,187800,188500,189200,189700,190000,190100,190100,190200,190400,190600,190700,190800,190600,190400,190300,190100,189800,189500,189100,188600,188100,187600,187100,186500,185600,184700,183900,183200,182500,181800,181100,180600,180000,179400,178800,178000,177200,176500,176000,175600,175300,175000,174800,174700,174800,174400,173400,172400,172200,171700,170600,169400,168400,167400,166400,165300,164200,163400,162700,162000,161200,160200,159200,158500,157900,157700,157700,157400,157000,156600,156200,155900,155600,155100,154900,154900,155200,155300,155400,155700,156100,156500,157100,157700,158000,158500,159100,159400,159500,159800,159900,159800,159700,159600,159600,159800,159900,160200,160300,160600,160700,160600,160500,160500,160500,160700,161200,161500,161700,162000,162600,163100,163300,163400,163500,163900,164600,165100,165400,165700,166300,166900,167400,168000,168500,168700,168700,168600,168800,169300,170100,171000,171800,172500,173200,173400,173500,173900,174600,175300,175800,176100,176300,176700,177200,177600,177800,178100,178600,179300,179900,180400
44,"Ohio",7,85700,85800,86000,86200,86600,87000,87300,87600,88000,88400,88700,89100,89400,89900,90400,90900,91400,91700,92000,92200,92300,92400,92500,92700,92900,93300,93700,94200,94800,95300,95800,96300,96700,97000,97300,97600,97900,98200,98500,98800,99200,99600,100100,100700,101300,101900,102500,103100,103700,104100,104400,104700,105100,105400,105900,106400,106900,107500,108000,108500,108900,109300,109700,110100,110600,111100,111600,112000,112400,112900,113400,113900,114400,115000,115500,116000,116400,116700,117100,117400,117700,118000,118300,118600,118800,119000,119200,119400,119600,119800,120000,120200,120500,120900,121200,121500,121700,121900,122100,122300,122500,122600,122900,123200,123500,123900,124100,124400,124600,124800,125000,125200,125500,125800,126000,126100,126100,126100,126000,125900,125800,125800,125700,125500,125400,125200,125000,124700,124400,124000,123500,123100,122900,122600,122200,121700,121100,120500,119900,119400,118800,118300,117700,117200,116900,116400,116000,115400,114900,114300,113900,113500,113000,112600,112000,111500,111000,110400,109800,109300,108900,108400,108100,107900,107300,106800,106900,107100,106700,106500,106300,106200,106100,105900,105300,104600,103900,103400,102700,101900,101200,100600,100000,99600,99200,98600,98100,97700,97500,97400,97100,96600,96200,95800,95100,94300,93900,93700,93600,93700,94100,94400,94700,95000,95100,95400,96200,96800,96900,97100,97300,97400,97800,98100,98200,98500,99200,99900,100500,101200,101600,102200,102900,103300,103400,104000,105000,105700,106300,106500,106500,106700,107000,107400,107500,107400,107400,107600,107800,107800,108000,108500,109200,110000,110800,111600,112300,112900,113100,113300,113900,114900,116000,116800,117500,118400,119500,120400,121100,122000,122700,122700,122300,122100,122500,123200,123400,123700,124000,124300,124700,125600,126600,127600
30,"Michigan",8,106200,106800,107500,108100,108700,109300,109900,110600,111300,112100,112900,113700,114400,115100,115800,116400,117000,117500,118100,118800,119600,120500,121500,122400,123100,123600,124000,124400,124700,125100,125400,125700,126000,126200,126500,126900,127400,128200,129000,129800,130600,131300,131900,132600,133400,134400,135400,136400,137300,138100,138900,139700,140300,140900,141300,141600,141900,142000,142000,141900,141700,141600,141400,141200,141000,140800,140900,141100,141600,142500,143600,144900,146200,147300,148300,149300,150300,151100,151800,152300,152600,152400,151800,151100,150300,149800,149600,149700,150000,150500,151100,151800,152400,152900,153500,154200,154900,155700,156500,157100,157700,158400,158900,159400,159900,160400,160800,161000,161300,161500,161700,161900,162100,162400,162600,162900,163100,163200,163200,163100,163000,162800,162500,162300,161900,161500,161100,160500,159800,159200,158500,157900,157200,156400,155300,154100,152800,151500,150100,148900,147600,146300,145000,143800,142500,141200,139900,138500,137000,135600,134200,132900,131600,130300,129000,127800,126600,125200,123900,122500,121200,119900,118900,118200,117700,117600,117700,117500,116800,116100,115600,115200,114700,114000,113300,112700,112000,111200,110400,109800,109300,109000,108700,108600,108900,109300,109500,109500,109500,109600,110000,110600,111600,112600,113400,113800,114400,115200,116000,116600,117600,118900,120100,121000,121900,123000,124400,125700,127200,128600,130100,131600,132900,133700,134500,135500,136800,137900,139300,140700,142000,143000,143800,144500,145400,146500,147600,148600,149400,150300,151200,152100,152900,153800,154900,156100,157300,158100,158900,159800,160900,161800,163300,165200,166700,167900,169000,170000,171100,172600,174100,175500,176900,178400,179800,180700,181500,182600,184000,185400,186400,187200,188300,189500,190800,192500,194100,195400,196400,197000,197700,198900,200400,201500
16,"Georgia",9,73800,74100,74600,75000,75500,76000,76500,77100,77600,78300,78900,79300,79700,80200,80600,81100,81500,82000,82500,83100,83900,84700,85500,86400,87400,88300,89200,90100,91000,91800,92700,93600,94700,95800,97000,98300,99700,101300,102900,104600,106300,108000,109600,111100,112500,113800,115100,116400,117700,119000,120400,121800,123200,124500,125700,126900,127900,128900,129800,130600,131300,132000,132700,133300,133800,134400,135000,135500,135900,136300,136600,137000,137200,137400,137600,137700,137800,137800,137800,137800,137800,137900,138100,138300,138400,138600,138800,139000,139200,139600,140200,141100,142300,143900,145200,146200,146600,146800,146900,147100,147400,147700,148100,148300,148400,148300,148400,148700,149300,149900,150400,150900,151300,151600,152000,152300,152700,153100,153300,153600,154100,154600,155000,155300,155700,156000,156200,156300,156300,156300,156200,156100,156300,156400,156600,156700,156800,156700,156500,156100,155600,154900,154000,153200,152600,151800,150900,150000,149000,147900,146900,145900,144900,143800,142600,141500,140300,138800,137500,136700,136300,136000,135600,135200,134400,133900,134100,133500,131600,130100,129200,127900,126700,125400,123500,121400,119300,117100,115200,113500,112400,111400,109700,107500,104500,101600,99400,97900,96700,95800,94700,93700,92700,91900,91200,90800,90900,91700,92700,93800,95100,96200,97200,98200,99600,101000,102400,103800,105400,107000,108400,109400,110400,111300,112400,113700,114800,115800,117300,119000,120500,121500,122400,123500,124400,124900,125200,125800,126700,128000,129000,129800,130200,130000,129700,129600,129900,130700,131900,133500,135300,137100,138800,140600,142200,143900,145300,146400,147400,148700,150100,151300,152500,153500,154300,155400,157000,158400,159400,160500,161800,163600,165500,166900,167900,169000,169900,170700,171600,173100,175700,178400,180200,181000
36,"North Carolina",10,73800,73900,73900,74000,74100,74400,74600,74900,75300,75800,76300,76800,77300,77700,78200,78600,79000,79500,79900,80300,80700,81100,81500,81900,82300,82800,83400,84100,84900,85700,86500,87300,88000,88500,88900,89300,89700,89900,90100,90200,90200,90200,90200,90300,90500,90900,91300,91800,92300,92800,93400,93900,94400,94900,95300,95600,95900,96000,96000,96000,95800,95700,95600,95600,95600,95600,95800,96000,96200,96500,96800,97200,97700,98200,98700,99200,99600,100100,100600,101100,101500,101700,101800,101900,102100,102300,102500,102700,102900,103000,103100,103300,103700,104700,106100,107600,108900,110100,111100,112000,112900,113800,114700,115600,116300,116700,116700,116700,116900,117300,117900,118600,119300,120100,121000,121900,122800,123700,124500,125500,126600,127600,128800,130100,131300,132400,133400,134300,135100,135700,136200,136800,137500,138000,138400,138700,139000,139300,139500,139700,139700,139600,139200,138900,138400,137900,137200,136500,135800,135200,134600,133900,133500,133000,132500,132000,131500,130900,130000,129100,128200,127400,126700,126100,125700,125400,125600,125200,124100,123300,123000,122600,122200,121700,121200,120500,119700,119100,118400,117600,116900,116200,115100,114000,113000,112300,111600,111100,110400,109800,109500,109400,109300,109300,109700,110100,110200,110500,110800,111100,111200,111200,111300,111400,111800,112300,112800,113300,113400,113100,112700,112700,112700,112700,112800,113100,113500,113800,113800,113800,114000,114100,114300,114500,114900,115300,115500,115500,115500,115400,115200,115400,115900,116600,117000,117100,117200,117600,117900,118300,119000,119800,120600,121500,122400,123200,123800,124200,124500,124800,125300,126200,127300,128100,128800,129600,129900,129700,129900,130800,132100,133100,134000,134700,135500,136000,136300,136300,136800,138100,139600,141200,142500,143400
